,names,avg_logFC,ct,pheno
0,Actb,-0.996309684344,Astrocytes,resilient
109,Rtn1,-0.847467439396,Astrocytes,resilient
82,Robo1,-1.33637237784,Astrocytes,resilient
81,Ralyl,-1.26632955228,Astrocytes,resilient
79,Ptprd,-1.071961536204,Astrocytes,resilient
77,Plp1,-1.49775368956,Astrocytes,resilient
1,Ank3,-1.77045587556,Astrocytes,resilient
75,Pcp4,-1.27694929476,Astrocytes,resilient
74,Pam,-1.2232441036800001,Astrocytes,resilient
114,Slc25a4,-0.9480509443999999,Astrocytes,resilient
72,Nwd2,-2.07676589576,Astrocytes,resilient
115,Snap25,-1.24732992526,Astrocytes,resilient
136,Zbtb20,0.41778563490200005,Astrocytes,resilient
134,Uqcrh,-0.893004739912,Astrocytes,resilient
133,Ubb,-0.806255622092,Astrocytes,resilient
132,Ttc3,-0.80165173554,Astrocytes,resilient
129,Tpt1,-1.16857375042,Astrocytes,resilient
126,Tmeff2,-1.9336916114,Astrocytes,resilient
125,Thsd7a,-0.932391722276,Astrocytes,resilient
124,Tenm2,-1.78333938628,Astrocytes,resilient
122,Syt9,-1.7097668028,Astrocytes,resilient
121,Syt1,-2.0561343187800003,Astrocytes,resilient
119,St6galnac5,-1.2059061519,Astrocytes,resilient
116,Snhg11,-2.07078068228,Astrocytes,resilient
73,Opcml,-1.76942339134,Astrocytes,resilient
76,Pcsk2,-1.8108818968799998,Astrocytes,resilient
19,Cmss1,-0.7713767916800001,Astrocytes,resilient
44,Gm3764,0.749280337616,Astrocytes,resilient
43,Gm19951,-1.7848936595800002,Astrocytes,resilient
6,Atp1b1,-1.50545648952,Astrocytes,resilient
41,Gapdh,-0.884858394154,Astrocytes,resilient
12,Camk1d,-1.1309585028,Astrocytes,resilient
38,Fth1,-0.42436046445599995,Astrocytes,resilient
35,Fam155a,-1.2351005287199999,Astrocytes,resilient
34,Eif1,-0.9997696606719999,Astrocytes,resilient
14,Car2,-1.50781955272,Astrocytes,resilient
31,Dpp6,-1.1666107259799998,Astrocytes,resilient
16,Cdk8,-1.13343841506,Astrocytes,resilient
29,Dlg2,-0.97629213497,Astrocytes,resilient
27,Cst3,-0.813640337004,Astrocytes,resilient
25,Cpne4,-2.15270920534,Astrocytes,resilient
17,Chchd2,-0.878598728116,Astrocytes,resilient
5,Asic2,-1.19211589764,Astrocytes,resilient
45,Gm42418,-0.938845096736,Astrocytes,resilient
47,Gria4,-1.76530645268,Astrocytes,resilient
48,Hsp90aa1,-1.1656217703,Astrocytes,resilient
