,,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,sign
si,0,Plp1,-15.583119,-1.1423696,9.481274443060065e-55,1.5456373597076516e-50,0.46464646464646464,si,1.1423696,114.6938182938648,False
si,1,Fth1,-15.430145,-0.74807197,1.0263842537373871e-53,8.366058052213442e-50,0.9259259259259259,si,0.74807197,113.00507183764188,False
si,2,Rpl38,-14.556674,-1.0640008,5.2973254820439625e-48,2.8785666669426894e-44,0.45824915824915824,si,1.0640008,100.25645160656583,False
si,3,Rps29,-12.927827,-0.92522854,3.1355844170379805e-38,1.2779074291638288e-34,0.5239057239057239,si,0.92522854,78.0426692426098,False
si,4,Pcp4,-12.7347355,-0.9001961,3.791299073059325e-37,1.2361151497802624e-33,0.5821548821548822,si,0.9001961,75.7733345508548,False
si,5,Rpl37,-12.404759,-0.93351597,2.462508808900169e-35,6.69063643378176e-32,0.464983164983165,si,0.93351597,71.7820139740892,False
si,6,Ndufa4,-12.126683,-1.003139,7.627629292411148e-34,1.7763658960698074e-30,0.35084175084175084,si,1.003139,68.50298314390929,False
si,7,Actb,-12.039297,-0.96135104,2.208282503532499e-33,4.499927671573349e-30,0.43703703703703706,si,0.96135104,67.57349146615798,False
si,8,Gng8,-11.959691,-1.1147954,5.777633683304122e-33,1.04652204783582e-29,0.25521885521885523,si,1.1147954,66.72949536597925,False
si,9,Gabbr1,-11.6856575,-0.8273428,1.5090717832029455e-31,2.460088820977442e-28,0.5427609427609428,si,0.8273428,63.57218514845243,False
si,10,Cox8a,-11.604874,-0.8813333,3.8926170502048593e-31,5.7688584684036015e-28,0.4484848484848485,si,0.8813333,62.71990838198417,False
si,11,Rps27,-11.483391,-1.0345167,1.5988538566604785e-30,2.17204296427326e-27,0.2548821548821549,si,1.0345167,61.39412932799023,False
si,12,Cox7c,-11.291404,-0.93383414,1.4470632798169952e-29,1.814617352890512e-26,0.3397306397306397,si,0.93383414,59.27133779720877,False
si,13,Ppia,-11.268004,-0.8285669,1.8880028506696272e-29,2.1984444622583046e-26,0.49393939393939396,si,0.8285669,59.07946237017744,False
si,14,Cox6c,-11.206182,-0.8935333,3.802473240571014e-29,4.132527917852578e-26,0.3838383838383838,si,0.8935333,58.44832311147376,False
si,15,Atp5g3,-11.138695,-1.1656456,8.130201233033013e-29,7.859174095264462e-26,0.1936026936026936,si,1.1656456,57.805530893863406,False
si,16,Rps21,-11.13798,-0.8222256,8.195679034443372e-29,7.859174095264462e-26,0.4727272727272727,si,0.8222256,57.805530893863406,False
si,17,Rps28,-11.120217,-0.9541924,1.0002799177712187e-28,9.05920178861467e-26,0.2909090909090909,si,0.9541924,57.66343140447349,False
si,18,Hsp90aa1,-10.995883,-0.7961648,3.9998056113777154e-28,3.4318332145620797e-25,0.4855218855218855,si,0.7961648,56.33153274156188,False
si,19,Jarid2,-10.917381,-1.0257527,9.520111755788358e-28,7.759843092143091e-25,0.23434343434343435,si,1.0257527,55.515665210945095,False
si,20,Gnas,-10.780477,-0.8459273,4.2567291070633806e-27,3.3044379953974873e-24,0.38821548821548824,si,0.8459273,54.06677581979141,False
si,21,Aldoa,-10.715445,-0.93514365,8.614196234075039e-27,6.383119409449604e-24,0.2898989898989899,si,0.93514365,53.40838531834008,False
si,22,Cpe,-10.608364,-0.78787816,2.724781003368506e-26,1.931277387691886e-23,0.4925925925925926,si,0.78787816,52.30127549597056,False
si,23,Ndrg4,-10.595365,-1.1449499,3.131196103156072e-26,2.126864953068762e-23,0.1835016835016835,si,1.1449499,52.20480809640076,False
si,24,Atp1b1,-10.576576,-0.8276019,3.826894707544078e-26,2.4954415008953424e-23,0.401010101010101,si,0.8276019,52.04499147104746,False
si,25,Calm2,-10.369711,-0.85290146,3.405537500461498e-25,2.135272012789359e-22,0.33131313131313134,si,0.85290146,49.89827800084522,False
si,26,Rps17,-10.324791,-0.9840635,5.443750237260184e-25,3.1786186214550024e-22,0.22154882154882155,si,0.9840635,49.500425339222964,False
si,27,Atp5k,-10.3245125,-1.1339244,5.45953388545823e-25,3.1786186214550024e-22,0.1750841750841751,si,1.1339244,49.500425339222964,False
