names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,region,phenotype,n_control_cells,n_pheno_cells
Pcp4,-9.185226,-1.3713642,4.106630571169255e-20,6.694629157120119e-16,0.3743119266055046,resilient,1.3713642,34.94005590131588,Dorsal,resilient,775,545
Malat1,-8.491706,-0.3813927,2.036263601537225e-17,1.659758461612992e-13,0.9944954128440368,resilient,0.3813927,29.426934122193444,Dorsal,resilient,775,545
Lars2,-6.5258994,-1.1827123,6.759475619911244e-11,3.6730990518597704e-07,0.22752293577981653,resilient,1.1827123,14.81705991692117,Dorsal,resilient,775,545
Plp1,-6.330191,-0.9814013,2.448576236311818e-10,9.979172451088814e-07,0.4055045871559633,resilient,0.9814013,13.817595484805645,Dorsal,resilient,775,545
Hsp90ab1,-6.1594872,-0.98928,7.298077893644666e-10,2.379465316443907e-06,0.3467889908256881,resilient,0.98928,12.948634752476387,Dorsal,resilient,775,545
Ubb,-6.0841813,-1.0330693,1.1708809194948434e-09,3.18128345826749e-06,0.3137614678899083,resilient,1.0330693,12.658225839369292,Dorsal,resilient,775,545
Kcnip4,-6.0437784,-1.4202896,1.5054622899486728e-09,3.226464802417581e-06,0.1944954128440367,resilient,1.4202896,12.644123508535154,Dorsal,resilient,775,545
Hsp90aa1,-6.0356393,-0.9639591,1.5833467316489172e-09,3.226464802417581e-06,0.3321100917431193,resilient,0.9639591,12.644123508535154,Dorsal,resilient,775,545
Map1b,-5.617459,-0.6413545,1.937861630312225e-08,3.51011336637221e-05,0.673394495412844,resilient,0.6413545,10.257277129902286,Dorsal,resilient,775,545
Camk1d,-5.5016766,-0.7875739,3.761964117487989e-08,6.13275390432892e-05,0.4954128440366973,resilient,0.7875739,9.699281565606455,Dorsal,resilient,775,545
Atp1b1,-5.46604,-0.906261,4.60200409135534e-08,6.820170063388615e-05,0.29541284403669726,resilient,0.906261,9.593041057445019,Dorsal,resilient,775,545
Lrp1b,-5.3812747,-0.8288064,7.396019768387357e-08,9.304884744604702e-05,0.47522935779816516,resilient,0.8288064,9.282385961346632,Dorsal,resilient,775,545
