mouse_gene,human_gene_upper,human_gene,in_bulk,in_sce
A1bg,A1BG,A1BG,True,True
A2m,A2M,A2M,True,True
A2ml1,A2ML1,A2ML1,True,True
A3galt2,A3GALT2,A3GALT2,False,True
A4galt,A4GALT,A4GALT,True,True
Aaas,AAAS,AAAS,True,True
Aacs,AACS,AACS,True,True
Aaed1,AAED1,AAED1,True,False
Aagab,AAGAB,AAGAB,True,True
Aak1,AAK1,AAK1,True,True
Aamdc,AAMDC,AAMDC,True,True
Aamp,AAMP,AAMP,True,True
Aanat,AANAT,AANAT,False,True
Aar2,AAR2,AAR2,True,True
Aard,AARD,AARD,True,True
Aars,AARS,AARS,True,True
Aars2,AARS2,AARS2,True,True
Aarsd1,AARSD1,AARSD1,True,True
Aasdh,AASDH,AASDH,True,True
Aasdhppt,AASDHPPT,AASDHPPT,True,True
Aass,AASS,AASS,True,True
Aatf,AATF,AATF,True,True
Aatk,AATK,AATK,True,True
Abat,ABAT,ABAT,True,True
Abca1,ABCA1,ABCA1,True,True
Abca13,ABCA13,ABCA13,True,True
Abca2,ABCA2,ABCA2,True,True
Abca3,ABCA3,ABCA3,True,True
Abca4,ABCA4,ABCA4,True,True
Abca5,ABCA5,ABCA5,True,True
Abca6,ABCA6,ABCA6,True,True
Abca7,ABCA7,ABCA7,True,True
Abca9,ABCA9,ABCA9,True,True
Abcb10,ABCB10,ABCB10,True,True
Abcb4,ABCB4,ABCB4,True,True
Abcb6,ABCB6,ABCB6,True,True
Abcb7,ABCB7,ABCB7,True,True
Abcb8,ABCB8,ABCB8,True,True
Abcb9,ABCB9,ABCB9,True,True
Abcc1,ABCC1,ABCC1,True,True
Abcc10,ABCC10,ABCC10,True,True
Abcc12,ABCC12,ABCC12,False,True
Abcc2,ABCC2,ABCC2,True,True
Abcc3,ABCC3,ABCC3,True,True
Abcc4,ABCC4,ABCC4,True,True
Abcc5,ABCC5,ABCC5,True,True
Abcc6,ABCC6,ABCC6,True,True
Abcc8,ABCC8,ABCC8,True,True
Abcc9,ABCC9,ABCC9,True,True
Abcd1,ABCD1,ABCD1,True,True
Abcd2,ABCD2,ABCD2,True,True
Abcd3,ABCD3,ABCD3,True,True
Abcd4,ABCD4,ABCD4,True,True
Abce1,ABCE1,ABCE1,True,True
Abcf1,ABCF1,ABCF1,True,True
Abcf2,ABCF2,ABCF2,True,True
Abcf3,ABCF3,ABCF3,True,True
Abcg1,ABCG1,ABCG1,True,True
Abcg2,ABCG2,ABCG2,True,True
Abcg4,ABCG4,ABCG4,True,True
Abhd10,ABHD10,ABHD10,True,True
Abhd11,ABHD11,ABHD11,True,True
Abhd12,ABHD12,ABHD12,True,True
Abhd12b,ABHD12B,ABHD12B,True,True
Abhd13,ABHD13,ABHD13,True,True
Abhd14a,ABHD14A,ABHD14A,True,True
Abhd14b,ABHD14B,ABHD14B,True,True
Abhd15,ABHD15,ABHD15,True,True
Abhd16a,ABHD16A,ABHD16A,True,True
Abhd17a,ABHD17A,ABHD17A,True,True
Abhd17b,ABHD17B,ABHD17B,True,True
Abhd17c,ABHD17C,ABHD17C,True,True
Abhd18,ABHD18,ABHD18,True,True
Abhd2,ABHD2,ABHD2,True,True
Abhd3,ABHD3,ABHD3,True,True
Abhd4,ABHD4,ABHD4,True,True
Abhd5,ABHD5,ABHD5,True,True
Abhd6,ABHD6,ABHD6,True,True
Abhd8,ABHD8,ABHD8,True,True
Abi1,ABI1,ABI1,True,True
