"bulk_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","ensemblID","gene_type","Class","MGI_Symbol"
"ENSG00000105227.14",0.690690700001557,2.49130334498704,4.76880200516783,1.78690548692543e-05,0.105812828947605,2.50979109422407,"PRX","ENSG00000105227","protein_coding","InGen","PRX"
"ENSG00000166780.10",-0.222781166765614,6.24088980567338,-4.76636938348761,1.80154739855042e-05,0.105812828947605,2.50307358667582,"C16orf45","ENSG00000166780","protein_coding","InGen","C16orf45"
"ENSG00000128567.16",0.433365973385179,6.04512705402905,4.69519612902378,2.28616925002332e-05,0.105812828947605,2.30692178298239,"PODXL","ENSG00000128567","protein_coding","InGen","PODXL"
"ENSG00000198682.12",0.54067504572941,2.45002111402613,4.65348873993031,2.62739099395087e-05,0.105812828947605,2.19233989385319,"PAPSS2","ENSG00000198682","protein_coding","InGen","PAPSS2"
"ENSG00000025770.18",-0.175004990335529,4.68299565839787,-4.63582499527445,2.78652663856617e-05,0.105812828947605,2.14389700129908,"NCAPH2","ENSG00000025770","protein_coding","InGen","NCAPH2"
"ENSG00000117877.10",-0.257803605732217,2.62106143095451,-4.6354578915412,2.78993220990345e-05,0.105812828947605,2.14289076071023,"CD3EAP","ENSG00000117877","protein_coding","InGen","CD3EAP"
"ENSG00000101187.15",0.92868574855809,2.93042088670295,4.58582993740629,3.28992124274776e-05,0.10695063971424,2.00706725315333,"SLCO4A1","ENSG00000101187","protein_coding","InGen","SLCO4A1"
"ENSG00000076067.11",0.25740366427646,4.65694003373054,4.46426110369038,4.9149918792085e-05,0.139806944004086,1.67619398727221,"RBMS2","ENSG00000076067","protein_coding","InGen","RBMS2"
"ENSG00000127954.12",1.62538207496902,-0.147313369720949,4.41228289888929,5.82898095507977e-05,0.145171291193891,1.5355779294966,"STEAP4","ENSG00000127954","protein_coding","InGen","STEAP4"
"ENSG00000229152.2",0.362388695231596,2.52824476312174,4.38469625933329,6.37947315845893e-05,0.145171291193891,1.46116785864108,"ANKRD10-IT1","ENSG00000229152","sense_intronic","InGen","ANKRD10-IT1"
"ENSG00000174804.3",0.391287797047201,4.26690027286725,4.33296626467598,7.55176352843913e-05,0.146754378172644,1.32206137642726,"FZD4","ENSG00000174804","protein_coding","InGen","FZD4"
"ENSG00000241015.2",0.426194417972685,2.4938308564545,4.28537483656873,8.81414391850293e-05,0.146754378172644,1.19459176706396,"TPM3P9","ENSG00000241015","transcribed_processed_pseudogene","InGen","TPM3P9"
"ENSG00000064205.10",1.14489856950055,-1.35378042814982,4.26984917878335,9.26879006871272e-05,0.146754378172644,1.15311614426065,"WISP2","ENSG00000064205","protein_coding","InGen","WISP2"
"ENSG00000261269.1",0.692679019388388,1.68887039524676,4.22883049494735,0.000105826238575142,0.146754378172644,1.04380174090481,"RP11-389C8.2","ENSG00000261269","sense_overlapping","InGen","RP11-389C8.2"
"ENSG00000183888.4",0.588976881671424,2.04432384910043,4.22787409024151,0.000106153242416,0.146754378172644,1.0412575669606,"C1orf64","ENSG00000183888","protein_coding","InGen","C1orf64"
"ENSG00000102755.10",0.485908886326047,6.38176300954766,4.21847612009325,0.000109419241718205,0.146754378172644,1.01626899910078,"FLT1","ENSG00000102755","protein_coding","InGen","FLT1"
"ENSG00000179066.7",1.05695163984936,-1.61756311965685,4.21214451423128,0.000111674512825207,0.146754378172644,0.999445385982905,"CTD-2527I21.15","ENSG00000179066","lincRNA","InGen","CTD-2527I21.15"
"ENSG00000153250.18",0.248900637957731,4.68976897515727,4.20011985425027,0.000116082738930726,0.146754378172644,0.967520955490378,"RBMS1","ENSG00000153250","protein_coding","InGen","RBMS1"
