group,gene,mean_expr,pct_expr,mean_expr_scaled
LHb,Snap25,1.1997797,48.20183,0.94444215
LHb,Celf4,1.0193646,40.075813,0.9999987
LHb,Slc17a6,0.58226687,24.597677,0.9999978
LHb,Tac2,0.4848759,19.59308,0.18151787
LHb,Gap43,0.45275465,20.218655,0.8879634
LHb,Mog,0.08249764,3.7471964,0.0046045245
LHb,Olig1,0.10052226,4.3857064,0.0
LHb,Gpr17,0.009379938,0.42566907,0.013179828
LHb,Pdgfra,0.020847581,0.96098036,0.0027374597
LHb,Col3a1,0.0010482002,0.045146722,0.0011101337
LHb,Slc6a11,0.13173623,5.8497643,0.015784435
LHb,Slc6a1,0.13504893,6.101299,0.08751027
LHb,Slc4a4,0.40131187,17.090782,0.08372157
LHb,Cldn5,0.030982997,1.405996,0.0020605554
LHb,Abcc9,0.005266591,0.24508224,0.002710411
LHb,Pdgfrb,0.007408031,0.32892606,0.0
LHb,Cx3cr1,0.035471153,1.7220238,0.007566863
LHb,C1qa,0.15863903,6.752679,0.008760231
LHb,C1qb,0.17547692,7.4685426,0.010742255
LHb,C1qc,0.10233978,4.4631014,0.004472013
LHb,Mrc1,0.0031841798,0.1354402,0.0007738184
LHb,Apoe,1.1272093,43.33912,0.0
MHb,Snap25,1.2502174,50.25555,0.99999887
MHb,Celf4,0.99724233,41.550606,0.97177136
MHb,Slc17a6,0.42303866,20.896694,0.6543088
MHb,Tac2,1.2246337,44.369446,0.99999887
MHb,Gap43,0.15794706,7.269785,0.18069367
MHb,Mog,0.15053785,6.7195835,0.04062313
MHb,Olig1,0.15258898,6.6693363,0.023685567
MHb,Gpr17,0.010451413,0.49235103,0.015384265
MHb,Pdgfra,0.028047789,1.2358975,0.01202864
MHb,Col3a1,0.0013099513,0.06531186,0.0017777861
MHb,Slc6a11,0.14481772,6.3980045,0.025043258
MHb,Slc6a1,0.09675351,4.3532443,0.040205177
MHb,Slc4a4,0.28914773,12.832096,0.03630231
MHb,Cldn5,0.059747476,2.5923579,0.015508472
MHb,Abcc9,0.006434625,0.29390314,0.0041614403
MHb,Pdgfrb,0.011985829,0.54761523,0.003691956
MHb,Cx3cr1,0.03757129,2.115085,0.009510742
MHb,C1qa,0.14268532,6.6693363,0.0036834378
MHb,C1qb,0.15397923,6.9004717,0.0041617975
MHb,C1qc,0.09006878,4.092,0.0
MHb,Mrc1,0.0025211188,0.13313574,0.000289376
MHb,Apoe,1.2534461,47.37169,0.044131152
Oligodendrocytes,Snap25,0.34235954,18.200886,0.0
Oligodendrocytes,Celf4,0.23564878,12.349344,0.0
Oligodendrocytes,Slc17a6,0.12165677,6.561025,0.0
