ct,pheno,n_stable_de_genes
Astrocytes,resilient,73
Astrocytes,si,22
Astrocytes,spt,148
Astrocytes,susceptible,62
Astrocytes,tst,552
Endothelial,resilient,2344
Endothelial,si,28
Endothelial,spt,102
Endothelial,susceptible,1853
Endothelial,tst,2811
Fibroblasts,resilient,12
Fibroblasts,si,2
Fibroblasts,spt,2
Fibroblasts,susceptible,12
Fibroblasts,tst,10
LHb,resilient,728
LHb,si,650
LHb,spt,216
LHb,susceptible,821
LHb,tst,153
MHb,resilient,2076
MHb,si,1367
MHb,spt,429
MHb,susceptible,947
MHb,tst,6387
Macrophages,resilient,131
Macrophages,si,5
Macrophages,spt,31
Macrophages,susceptible,114
Macrophages,tst,144
Microglia,resilient,794
Microglia,si,159
Microglia,spt,217
Microglia,susceptible,576
Microglia,tst,573
Oligodendrocytes,resilient,5661
Oligodendrocytes,si,155
Oligodendrocytes,spt,1022
Oligodendrocytes,susceptible,1987
Oligodendrocytes,tst,5943
Pericytes,resilient,144
Pericytes,si,1
Pericytes,spt,1
Pericytes,susceptible,104
Pericytes,tst,154
