region,pheno,n_region_de_genes
Dorsal,resilient,186
Dorsal,si,305
Dorsal,spt,1150
Dorsal,susceptible,104
Dorsal,tst,28
Lateral,resilient,6
Lateral,si,3
Lateral,spt,37
Lateral,susceptible,14
Lateral,tst,9
Superior/Dorsal,resilient,15
Superior/Dorsal,spt,2
Superior/Dorsal,susceptible,10
Superior/Dorsal,tst,1
Ventral,resilient,194
Ventral,si,77
Ventral,spt,67
Ventral,susceptible,78
Ventral,tst,14
Ventral/Dorsal,resilient,3073
Ventral/Dorsal,si,23
Ventral/Dorsal,spt,3627
Ventral/Dorsal,susceptible,2635
Ventral/Dorsal,tst,9593
