label,human_gene,mouse_gene,primary_enriched_celltype,direction,celltype,mean_log1p_norm_expr,pct_expr,expr_z_by_gene
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Endothelial,0.25034740567207336,15.584028605482994,2.5
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Pericytes,0.013475628569722176,0.674698795180723,-0.3321858021547814
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Fibroblasts,0.011467533186078072,0.6297229219143576,-0.3592422324096823
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Astrocytes,0.0027527438942342997,0.16455101081335213,-0.4766624957006802
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Microglia,0.0623268187046051,3.7584162395739193,0.32601939542641845
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Macrophages,0.06445132941007614,3.57142857142857,0.35464436822230977
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Polydendrocytes,0.003020226489752531,0.11507479861910241,-0.47305852138303317
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Oligodendrocytes,0.0021611417178064585,0.12777103430652267,-0.4846335528305064
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,Diff. Oligodendrocytes,0.0035996357910335064,0.1388888888888889,-0.4652517471247801
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,LHb,0.0024925267789512873,0.14833924540470822,-0.480168577278344
ARAP3 / Arap3,ARAP3,Arap3,Endothelial,up_in_suicide,MHb,0.003335617482662201,0.15323168127810283,-0.46880904475349233
PAQR5 / Paqr5,PAQR5,Paqr5,Endothelial,up_in_suicide,Endothelial,0.472532719373703,26.0578069129929,2.5
PAQR5 / Paqr5,PAQR5,Paqr5,Endothelial,up_in_suicide,Pericytes,0.009971216320991516,0.48192771084337344,-0.3064913793003165
PAQR5 / Paqr5,PAQR5,Paqr5,Endothelial,up_in_suicide,Fibroblasts,0.008172689937055111,0.5037783375314862,-0.31940118541333357
PAQR5 / Paqr5,PAQR5,Paqr5,Endothelial,up_in_suicide,Astrocytes,0.016311557963490486,0.9637987776210617,-0.26098046435015576
PAQR5 / Paqr5,PAQR5,Paqr5,Endothelial,up_in_suicide,Microglia,0.00968299899250269,0.41201889257361035,-0.3085602006767696
PAQR5 / Paqr5,PAQR5,Paqr5,Endothelial,up_in_suicide,Macrophages,0.018523037433624268,1.1520737327188941,-0.245106484720311
