primary_enriched_celltype,direction,n_mapped_deg_genes,percent_of_mapped_degs
Astrocytes,down_in_suicide,10,6.666666666666667
Astrocytes,up_in_suicide,1,0.6666666666666667
Endothelial,down_in_suicide,4,2.666666666666667
Endothelial,up_in_suicide,45,30.0
Fibroblasts,down_in_suicide,1,0.6666666666666667
Fibroblasts,up_in_suicide,2,1.3333333333333335
LHb,down_in_suicide,2,1.3333333333333335
LHb,up_in_suicide,4,2.666666666666667
MHb,down_in_suicide,5,3.3333333333333335
MHb,up_in_suicide,4,2.666666666666667
Macrophages,down_in_suicide,1,0.6666666666666667
Macrophages,up_in_suicide,1,0.6666666666666667
Microglia,down_in_suicide,3,2.0
Microglia,up_in_suicide,3,2.0
Oligodendrocytes,down_in_suicide,17,11.333333333333332
Oligodendrocytes,up_in_suicide,6,4.0
Pericytes,down_in_suicide,4,2.666666666666667
Pericytes,up_in_suicide,10,6.666666666666667
Polydendrocytes,up_in_suicide,1,0.6666666666666667
not_celltype_enriched,down_in_suicide,9,6.0
not_celltype_enriched,up_in_suicide,17,11.333333333333332
