celltype,n_celltype_markers,n_kim_mapped_deg_genes,n_overlap,odds_ratio,p_value,overlap_mouse_genes,p_adj,neg_log10_fdr
Endothelial,3373,150,67,4.246864044198573,1.6274735629106094e-16,ABCG2;ACSL5;ADCY4;ANXA3;ARAP3;ARHGAP27;ATP10A;BCL6B;CCND1;CD34;CD38;CDH5;CETN2;CFH;CH25H;CMTM8;COBLL1;DNAJB1;EDN3;EMCN;ENG;EPAS1;ERG;ESAM;FAM43A;FLT1;FN1;FOXF2;FOXQ1;HSPA12B;HSPA1A;HSPA1B;HSPB1;ICAM2;ID2;IFITM1;KDR;LIN7C;LSR;MYCT1;NOSTRIN;OCLN;PAQR5;PHLDB2;PLAT;PLEKHG2;PMAIP1;PPP1R11;PTPRB;RGCC;ROBO4;RPL12;SEMA3G;SIK1;SLC2A1;SLC38A5;SMAD6;SOX18;TBX3;TGM2;TIE1;TM4SF1;TMEM204;TMEM88;UBC;VWF;XAF1,1.7902209192016704e-15,14.747093372332909
Pericytes,1711,150,34,3.3246355355417103,4.0710113171991805e-08,ARHGAP42;ASPN;CETN2;CFH;COBLL1;DNAJB1;EMCN;ENG;EPAS1;ESAM;FOXF2;HSPA1A;HSPA1B;HSPB1;IFITM1;NOTCH3;NUDT4;P2RY14;PHLDB2;PLAT;PLEKHG2;PPP1R11;RGCC;RPL12;SIK1;SLC19A1;SLC38A11;TBX18;TBX3;TM4SF1;TMEM2;TMEM204;UBC;WLS,2.2390562244595493e-07,6.649935000808665
Fibroblasts,554,150,11,2.9375306384726474,0.002268696559292954,CFH;EDN3;HSPB1;IFITM1;MATN2;PHLDB2;PLAT;RGCC;TBX18;TMEM204;WLS,0.008318554050740832,2.0799521571658355
Microglia,1319,150,17,1.9042363974452259,0.014088195609145109,ACSL5;ANXA3;ARAP3;ARHGAP27;CCND1;CD34;CFH;ID2;KCNRG;LEFTY1;NPNT;PMAIP1;RGS2;RPL12;SKAP2;TMEM88;UBC,0.03874253792514905,1.4118119331578078
Macrophages,1192,150,13,1.5710456096035859,0.08853334170463449,ACSL5;CCND1;CD38;CFH;DNAJB1;HSPA1A;HSPA1B;ID2;PMAIP1;RGS2;RPL12;SKAP2;UBC,0.1947733517501959,0.7104704621366074
Astrocytes,2325,150,22,1.3729103343465046,0.10967853762337544,ARHGAP42;CD38;CDH10;CHST9;DOK5;EPAS1;FREM2;ID2;KREMEN1;NOTCH3;OCRL;PAX6;PFKFB2;PLAT;PRTG;RGCC;SKAP2;SLC22A4;SMAD6;STAMBPL1;TAB1;WLS,0.20107731897618833,0.6966369139830988
Polydendrocytes,467,150,4,1.197431876682742,0.43401240320968615,CCND1;ID2;POU3F1;RGCC,0.6820194907580782,0.16620321389523987
Diff. Oligodendrocytes,259,150,2,1.0748764328530866,0.5582140106296828,IL33;UBC,0.7675442646158138,0.11489656917448134
MHb,2961,150,19,0.8754054208333117,0.7395704596694027,CDR1;CETN2;CHGA;DOK5;DYRK3;KCNG4;KREMEN1;MED27;OCRL;P2RY14;PPIP5K1;PRKAR1B;SAMD15;ST6GALNAC1;STAMBPL1;TMEM158;TMEM2;WLS;WNK3,0.9039194507070477,0.04387026827690672
LHb,1791,150,10,0.7587230287960215,0.8392571086399466,CDH10;CHGA;CHST9;DCHS2;DOK5;FAM163B;OCRL;PPIP5K1;PRKAR1B;WSCD2,0.9231828195039413,0.03471228636345509
Oligodendrocytes,6365,150,33,0.6399606394868556,0.992438946746897,ATP8B1;CDH10;CENPO;COBLL1;DNAJB1;GOLPH3L;HSPA1A;HSPA1B;IL33;ITGAD;KCNA6;KCNRG;LEFTY1;LIN7C;MATN2;MRPL40;NFATC2IP;NUDT1;NUDT4;PAICS;PNO1;POU3F1;PPP1R11;PRTG;SKAP2;SLC2A1;TAB1;UBC;VPS25;WLS;XAF1;YOD1;ZBTB33,0.992438946746897,0.00329620084342776
