mouse_gene,scores,logFC_vs_other_celltypes,pvals,pvals_adj,pct_nz_group,pct_nz_reference,celltype,mouse_gene_upper,is_celltype_marker
Bsg,122.25948,5.6764946,0.0,0.0,0.9375744934445769,0.32140258668433114,Endothelial,BSG,True
Flt1,109.75168,7.541888,0.0,0.0,0.8139153754469607,0.032588747597380736,Endothelial,FLT1,True
Ly6c1,106.73646,7.643334,0.0,0.0,0.790673420738975,0.025313019210094802,Endothelial,LY6C1,True
Ly6a,101.51029,7.391118,0.0,0.0,0.7538736591179976,0.02313030069390902,Endothelial,LY6A,True
Klf2,99.036224,6.253802,0.0,0.0,0.7534266984505363,0.06864161065079762,Endothelial,KLF2,True
Cldn5,95.47759,7.2279863,0.0,0.0,0.7091775923718713,0.022207260525372745,Endothelial,CLDN5,True
Pltp,92.81035,5.728529,0.0,0.0,0.70992252681764,0.060964088307795886,Endothelial,PLTP,True
Itm2a,90.751396,7.0534315,0.0,0.0,0.675357568533969,0.023597250426227373,Endothelial,ITM2A,True
Hspb1,90.23728,5.904438,0.0,0.0,0.6914481525625745,0.04992018417366186,Endothelial,HSPB1,True
Slco1a4,89.896996,7.087235,0.0,0.0,0.6685041716328963,0.01919923550555453,Endothelial,SLCO1A4,True
Ifitm3,86.84409,5.483484,0.0,0.0,0.6725268176400476,0.05209204339374722,Endothelial,IFITM3,True
Igfbp7,82.40311,4.947658,0.0,0.0,0.6544994040524433,0.06641545495021013,Endothelial,IGFBP7,True
Adgrl4,80.16346,6.9506135,0.0,0.0,0.5959475566150179,0.014203959299358216,Endothelial,ADGRL4,True
Klf4,78.49492,4.741114,0.0,0.0,0.6287246722288439,0.09444329818541163,Endothelial,KLF4,True
Sptbn1,77.82956,2.8324254,0.0,0.0,0.7540226460071514,0.36402532387850617,Endothelial,SPTBN1,True
Egfl7,77.44692,6.5309477,0.0,0.0,0.5792610250297974,0.018439084778524656,Endothelial,EGFL7,True
Slc2a1,76.66516,4.936739,0.0,0.0,0.6026519666269369,0.07575444959657715,Endothelial,SLC2A1,True
Cxcl12,76.08322,6.3022246,0.0,0.0,0.573450536352801,0.02651840107724217,Endothelial,CXCL12,True
Slc6a6,75.94752,3.8767087,0.0,0.0,0.6446662693682956,0.17071899399480925,Endothelial,SLC6A6,True
Slco1c1,74.680504,6.321111,0.0,0.0,0.5598927294398093,0.018667129996633617,Endothelial,SLCO1C1,True
Jun,73.98386,3.1695728,0.0,0.0,0.7358462455303934,0.3013020296024412,Endothelial,JUN,True
Tmsb4x,73.60382,2.1318607,0.0,0.0,0.9380214541120382,0.693181447978542,Endothelial,TMSB4X,True
Ly6e,72.51774,4.0159235,0.0,0.0,0.6120381406436234,0.09694093628850978,Endothelial,LY6E,True
Abcb1a,72.45416,6.93501,0.0,0.0,0.5376936829558999,0.010783281027723784,Endothelial,ABCB1A,True
Ptprb,71.43658,6.311274,0.0,0.0,0.5353098927294399,0.017646356163193502,Endothelial,PTPRB,True
Tsc22d1,69.99063,3.0434017,0.0,0.0,0.6603098927294399,0.2329210420580538,Endothelial,TSC22D1,True
Ramp2,69.76397,6.2634373,0.0,0.0,0.5229439809296782,0.01685362754786235,Endothelial,RAMP2,True
Id3,68.97006,4.443372,0.0,0.0,0.5563170441001192,0.06090979182729375,Endothelial,ID3,True
Ptprg,68.00251,4.1707683,0.0,0.0,0.5609356376638855,0.08338853475517717,Endothelial,PTPRG,True
Junb,65.74145,3.5302675,0.0,0.0,0.591626936829559,0.14880493446414803,Endothelial,JUNB,True
Spock2,65.10428,2.8336701,0.0,0.0,0.6448152562574494,0.24136957442418583,Endothelial,SPOCK2,True
Epas1,65.09239,4.6915255,0.0,0.0,0.5129618593563766,0.046608098863031695,Endothelial,EPAS1,True
Id1,65.08208,5.2209153,0.0,0.0,0.5017878426698451,0.03534700880688914,Endothelial,ID1,True
Fos,65.02087,2.6865997,0.0,0.0,0.7182657926102503,0.3644379771303224,Endothelial,FOS,True
H2-D1,64.96481,3.3209274,0.0,0.0,0.592222884386174,0.13874922627515285,Endothelial,H2-D1,True
Vim,64.37178,4.4392633,0.0,0.0,0.5148986889153755,0.04949667162574522,Endothelial,VIM,True
Abcg2,63.962994,5.597059,0.0,0.0,0.4865911799761621,0.02555192372430419,Endothelial,ABCG2,True
Abhd2,63.91412,3.845263,0.0,0.0,0.5391835518474374,0.09053395158925799,Endothelial,ABHD2,True
Utrn,63.746834,4.0248604,0.0,0.0,0.5269666269368296,0.07088948494358596,Endothelial,UTRN,True
Nfkbia,63.059948,3.6451604,0.0,0.0,0.5461859356376639,0.10512884554823157,Endothelial,NFKBIA,True
Myl6,62.666027,2.302875,0.0,0.0,0.6898092967818832,0.34802958072257756,Endothelial,MYL6,True
Slc9a3r2,61.867546,5.0091276,0.0,0.0,0.4806317044100119,0.03757316450747662,Endothelial,SLC9A3R2,True
Crip2,61.41848,4.3268075,0.0,0.0,0.4940405244338498,0.056294590984612376,Endothelial,CRIP2,True
Ptma,61.04061,1.8383683,0.0,0.0,0.8699344457687723,0.5972069890429702,Endothelial,PTMA,True
Sgms1,60.168747,3.4785602,0.0,0.0,0.5292014302741359,0.12487104585880743,Endothelial,SGMS1,True
Pcp4l1,59.98981,4.031003,0.0,0.0,0.49195470798569724,0.060149641100263884,Endothelial,PCP4L1,True
Actb,59.67519,1.8961858,0.0,0.0,0.9120977353992848,0.6540336855365035,Endothelial,ACTB,True
Adgrf5,58.684834,6.513717,0.0,0.0,0.4365315852205006,0.008589703215437575,Endothelial,ADGRF5,True
Atox1,58.531445,2.880071,0.0,0.0,0.5637663885578069,0.18836535015800276,Endothelial,ATOX1,True
Srgn,58.312214,4.268274,0.0,0.0,0.46737187127532775,0.03981017950416454,Endothelial,SRGN,True
Dusp1,58.2683,3.1367507,0.0,0.0,0.5396305125148987,0.1496845374482826,Endothelial,DUSP1,True
Jcad,57.737354,5.967863,0.0,0.0,0.4339988081048868,0.014279974372061202,Endothelial,JCAD,True
Pglyrp1,57.193615,6.6542106,0.0,0.0,0.42520858164481523,0.0090457936516555,Endothelial,PGLYRP1,True
Igf1r,56.951958,2.884014,0.0,0.0,0.5530393325387366,0.19462030471184857,Endothelial,IGF1R,True
B2m,56.71949,2.7636368,0.0,0.0,0.5695768772348033,0.15027093943770564,Endothelial,B2M,True
Pecam1,56.67163,5.8336673,0.0,0.0,0.4266984505363528,0.014464582405768459,Endothelial,PECAM1,True
Gpcpd1,56.553616,3.4400342,0.0,0.0,0.4967222884386174,0.10874499114967368,Endothelial,GPCPD1,True
Emcn,56.411484,6.1195297,0.0,0.0,0.42193087008343266,0.010587813697916101,Endothelial,EMCN,True
Cyyr1,55.803375,6.1140823,0.0,0.0,0.4176102502979738,0.01079414032382421,Endothelial,CYYR1,True
Actg1,55.79949,1.9790745,0.0,0.0,0.6875744934445769,0.3845059563239111,Endothelial,ACTG1,True
Lef1,55.50569,3.705261,0.0,0.0,0.4684147794994041,0.07535265564086135,Endothelial,LEF1,True
Tm4sf1,55.47104,4.6761417,0.0,0.0,0.43444576877234803,0.03141594361853465,Endothelial,TM4SF1,True
Calm1,55.35147,1.745857,0.0,0.0,0.7383790226460072,0.47157579245713294,Endothelial,CALM1,True
Btg2,54.854397,3.0126543,0.0,0.0,0.5195172824791419,0.14279974372061202,Endothelial,BTG2,True
Vwa1,54.733917,5.5830674,0.0,0.0,0.41507747318235994,0.01835221040972124,Endothelial,VWA1,True
Gnai2,54.724213,2.4320827,0.0,0.0,0.5774731823599524,0.2304451225471565,Endothelial,GNAI2,True
Mecom,54.391647,6.450956,0.0,0.0,0.40479737783075087,0.00803587911431581,Endothelial,MECOM,True
Rpl38,54.361797,1.5591444,0.0,0.0,0.8018474374255066,0.5989336171229381,Endothelial,RPL38,True
Jund,54.1827,2.1648455,0.0,0.0,0.641984505363528,0.3121613257028679,Endothelial,JUND,True
H2-K1,54.048355,3.482936,0.0,0.0,0.4655840286054827,0.07639514806650233,Endothelial,H2-K1,True
Ier2,53.555443,3.1352572,0.0,0.0,0.4891239570917759,0.11319730255084866,Endothelial,IER2,True
Rpl27a,53.064342,1.4998409,0.0,0.0,0.7999106078665077,0.578192361571123,Endothelial,RPL27A,True
Tpt1,53.049435,1.3805882,0.0,0.0,0.8773837902264601,0.6859600160717583,Endothelial,TPT1,True
Zfp36l1,52.8062,3.2525134,0.0,0.0,0.466030989272944,0.08273697698915157,Endothelial,ZFP36L1,True
Ptn,52.697704,1.9991211,0.0,0.0,0.695321811680572,0.34807301790697925,Endothelial,PTN,True
Nostrin,52.549095,6.5434027,0.0,0.0,0.39019666269368297,0.006667607805662037,Endothelial,NOSTRIN,True
Arl4a,52.43062,3.845979,0.0,0.0,0.4389153754469607,0.0731373592363743,Endothelial,ARL4A,True
Hmcn1,51.939877,6.42904,0.0,0.0,0.38662097735399287,0.007938145449411968,Endothelial,HMCN1,True
Eng,51.85667,5.6609616,0.0,0.0,0.3909415971394517,0.013356934203524927,Endothelial,ENG,True
Clic4,51.05012,2.6187866,0.0,0.0,0.5034266984505363,0.1583176778481219,Endothelial,CLIC4,True
Rpl41,50.795963,1.3988931,0.0,0.0,0.8188319427890346,0.6264836513297208,Endothelial,RPL41,True
Ctla2a,50.741882,6.587044,0.0,0.0,0.3769368295589988,0.0070259645769761205,Endothelial,CTLA2A,True
Rps16,50.700523,1.6047864,0.0,0.0,0.7379320619785459,0.48002432482326496,Endothelial,RPS16,True
Clec2d,50.669098,5.9749446,0.0,0.0,0.37946960667461266,0.010283753407104152,Endothelial,CLEC2D,True
Gng5,50.657677,2.3734686,0.0,0.0,0.5449940405244339,0.21227752017114251,Endothelial,GNG5,True
Fxyd5,50.29805,5.454849,0.0,0.0,0.3805125148986889,0.013595838717734317,Endothelial,FXYD5,True
Cd34,50.25667,5.025104,0.0,0.0,0.38498212157330153,0.01831963252141996,Endothelial,CD34,True
Rps20,50.16194,1.5517741,0.0,0.0,0.7577473182359953,0.5176626451073442,Endothelial,RPS20,True
Car4,50.109318,4.858126,0.0,0.0,0.3878128724672229,0.023293190135415424,Endothelial,CAR4,True
Itih5,49.95147,4.632016,0.0,0.0,0.3900476758045292,0.02731112969257333,Endothelial,ITIH5,True
Cdh5,49.907734,6.718066,0.0,0.0,0.3694874851013111,0.0049301204295937534,Endothelial,CDH5,True
Kank3,49.794617,5.546008,0.0,0.0,0.3766388557806913,0.014421145221366751,Endothelial,KANK3,True
Sparc,49.699898,2.1850526,0.0,0.0,0.5826877234803337,0.23046684113935734,Endothelial,SPARC,True
Atf3,49.577797,3.148415,0.0,0.0,0.45083432657926104,0.09506227806313594,Endothelial,ATF3,True
Rpl9,49.493797,1.4121982,0.0,0.0,0.8054231227651967,0.5852509040364003,Endothelial,RPL9,True
Ebf1,49.489643,2.4010704,0.0,0.0,0.5283075089392133,0.17680019981104825,Endothelial,EBF1,True
Ptprm,49.474705,2.9982846,0.0,0.0,0.4570917759237187,0.10827804141735532,Endothelial,PTPRM,True
