probe_set_id,human_gene,gene_accession,control_mean,suicide_mean,ratio_s_to_c,p_value,log2_ratio_s_to_c,direction,human_gene_original,human_gene_upper,mouse_gene,mouse_gene_upper,kim_region_enrichment_category,enriched_region,avg_expr_LHb,avg_expr_MHb,pct_expr_LHb,pct_expr_MHb,logFC_vs_other_region,region_marker_fdr,pct_nz_group,pct_nz_reference
16747112,KCNA6,NM_002235 ,393.260821118018,305.64690185227704,0.7772116759135588,0.018293430610259627,-0.36362052044884446,down_in_suicide,KCNA6,KCNA6,Kcna6,KCNA6,LHb-enriched,LHb,0.10139281286165702,0.03303748564259339,0.04830699774266354,0.015923120089786708,1.6676399,7.116854936651178e-06,0.04830699774266366,0.015923120089786757
16756510,WSCD2,ENST00000332082 ,75.57727312941049,91.64571535910916,1.2126094467867978,0.027040839011679956,0.27811496685490406,up_in_suicide,WSCD2,WSCD2,Wscd2,WSCD2,LHb-enriched,LHb,0.06481492332527052,0.007410018747892614,0.03269912931312472,0.003998316498316503,3.170435,8.411459372150202e-05,0.0326991293131248,0.003998316498316498
16787650,CHGA,ENST00000216492 ,183.2763747453841,236.5755695205556,1.2908132313792064,0.029271711809708716,0.3682802712450001,up_in_suicide,CHGA,CHGA,Chga,CHGA,LHb-enriched,LHb,0.23310180234540007,0.12456204503929079,0.10003224766204426,0.07673961840628615,0.98472273,0.0002984585739686801,0.10003224766204451,0.07673961840628507
16854425,CHST9,NM_031422 ,139.98416922144844,103.51779579778469,0.7394964471591379,0.04018399185044979,-0.4353848788384835,down_in_suicide,CHST9,CHST9,Chst9,CHST9,LHb-enriched,LHb,0.08387591406121038,0.004649163434005596,0.036375362786197914,0.00224466891133558,4.230785,1.9697454620069303e-06,0.036375362786198004,0.002244668911335578
16869653,DNAJB1,NM_006145 ,495.9658441700166,377.6852432270453,0.7615146237723077,0.002399159153222782,-0.3930563530648651,down_in_suicide,DNAJB1,DNAJB1,Dnajb1,DNAJB1,MHb-enriched,MHb,0.101013099343747,0.1561353847478638,0.04875846501128656,0.089085297418633,0.66886926,2.777403356520068e-08,0.08908529741863075,0.04875846501128668
17006863,HSPA1A,NM_005345 ,2369.4863137252464,1633.8938779922933,0.6895561576059609,0.003549288400227775,-0.5362600449603412,down_in_suicide,HSPA1A,HSPA1A,Hspa1a,HSPA1A,MHb-enriched,MHb,0.13462318829255765,0.23174540539226787,0.06030312802321817,0.11539001122334928,0.85581034,1.0773077508016875e-14,0.11539001122334455,0.060303128023218314
17028007,HSPA1B,NM_005346 ,2661.596446014619,1875.8700604162864,0.7047913154622476,0.003880681045172633,-0.50473194761079,down_in_suicide,HSPA1B,HSPA1B,Hspa1b,HSPA1B,MHb-enriched,MHb,0.12415409288742514,0.2177480155619376,0.055852950661076935,0.11047979797980224,0.87996405,1.7181320633951312e-14,0.11047979797979798,0.05585295066107707
17098491,RPL12,AK057602 ,29.865288430174463,37.82338682480954,1.2664664837656343,0.004532661918188522,0.34080889754395666,up_in_suicide,RPL12,RPL12,Rpl12,RPL12,MHb-enriched,MHb,0.5163046272376176,0.6149765641033664,0.2148339245404703,0.2734287317620646,0.33015996,9.192923396293282e-13,0.2734287317620651,0.21483392454047082
16745693,ESAM,NM_138961 ,222.5011476474158,294.0748683329751,1.3216779843265252,0.007155358918898768,0.402370719201926,up_in_suicide,ESAM,ESAM,Esam,ESAM,MHb-enriched,MHb,0.017811397322300977,0.05467642998964041,0.008126410835214433,0.034652076318742855,1.6448715,0.0003389153661580877,0.03465207631874299,0.008126410835214447
16692805,GOLPH3L,NM_018178 ,240.95635141151973,186.8410327294937,0.7754144335062384,0.009309714038301694,-0.3669605053308052,down_in_suicide,GOLPH3L,GOLPH3L,Golph3l,GOLPH3L,MHb-enriched,MHb,0.038435189561914405,0.05394387967623003,0.02102547565301511,0.04138608305274956,0.50030476,0.008928128300095076,0.04138608305274972,0.021025475653015158
16880924,PNO1,NM_020143 ,89.61443480970722,74.5116722324157,0.8314695326778366,0.009680571430033997,-0.26626469470602815,down_in_suicide,PNO1,PNO1,Pno1,PNO1,MHb-enriched,MHb,0.027635630251910598,0.05046603776407292,0.014640438568203774,0.04110549943883261,0.8853591,0.0003768345197229821,0.04110549943883277,0.014640438568203806
16698766,YOD1,NM_018566 ,86.27968653571178,70.93053714408096,0.82210007931267,0.01082593880889366,-0.2826140621247411,down_in_suicide,YOD1,YOD1,Yod1,YOD1,MHb-enriched,MHb,0.04275597812631288,0.05407619617066765,0.021283456949371123,0.03970258136924788,0.3470992,0.020939130150773977,0.039702581369248036,0.02128345694937117
16736847,LIN7C,NM_018362 ,937.1063275439288,745.2736455836205,0.7952925123629411,0.018599528254435557,-0.3304425067948136,down_in_suicide,LIN7C,LIN7C,Lin7c,LIN7C,MHb-enriched,MHb,0.0819508483159689,0.1032267172698157,0.04089003547242815,0.06741021324354678,0.34856972,0.0005202421652522315,0.06741021324354658,0.04089003547242825
16755103,NUDT4,ENST00000337179 ,34.07979005835567,27.818481876370623,0.8162750365755289,0.020329536150393575,-0.29287275758276016,down_in_suicide,NUDT4,NUDT4,Nudt4,NUDT4,MHb-enriched,MHb,0.18972734628606205,0.23949136158348333,0.08494034182521747,0.13194444444444936,0.3732261,4.3372893232915e-10,0.13194444444444445,0.08494034182521767
16675323,RGS2,NM_002923 ,310.3730043240024,248.2981819873367,0.7999992864332202,0.022161831622050317,-0.3219293817120045,down_in_suicide,RGS2,RGS2,Rgs2,RGS2,MHb-enriched,MHb,0.04977397439569416,0.08990291855305466,0.024701709126088302,0.06376262626262612,0.88226014,6.61276166988212e-08,0.06376262626262626,0.024701709126088357
16928716,KREMEN1,NM_032045 ,203.8835450314902,167.80482897235373,0.8230425311980716,0.02416339479110616,-0.2809611102148009,down_in_suicide,KREMEN1,KREMEN1,Kremen1,KREMEN1,MHb-enriched,MHb,0.033588527259645284,0.0697583353011568,0.016510802966784872,0.043841189674522836,1.0807128,0.00022509631236674224,0.04384118967452301,0.016510802966784907
16927040,MRPL40,ENST00000333130 ,141.35855812275935,115.7152440166712,0.8185938336763534,0.02613560076081836,-0.28878029563391383,down_in_suicide,MRPL40,MRPL40,Mrpl40,MRPL40,MHb-enriched,MHb,0.046861754319527625,0.0757214162052331,0.025540148339245346,0.058852413019079446,0.7133209,5.446354195162655e-06,0.05885241301907969,0.025540148339245405
17100695,UIMC1,AF284753 ,276.2674344439456,421.075525524985,1.5241591046461929,0.027010668489343866,0.6080135114289971,up_in_suicide,UIMC1,UIMC1,Uimc1,UIMC1,MHb-enriched,MHb,0.12166205572809748,0.15846684229201785,0.06114156723637521,0.0981341189674554,0.4084703,7.90503288815485e-07,0.0981341189674523,0.061141567236375365
17099248,MED27,NM_001253882 ,22.06354094523855,29.69917961029613,1.346074942549301,0.03222886187841409,0.428758734045117,up_in_suicide,MED27,MED27,Med27,MED27,MHb-enriched,MHb,0.12032198040333666,0.15638612205829394,0.062173492421799266,0.1008698092031459,0.40482673,2.3648325380539207e-07,0.10086980920314254,0.06217349242179942
16967031,PAICS,NM_001079525 ,462.27764242569503,382.7335181687852,0.8279299776655422,0.03411871679942906,-0.27241933820923897,down_in_suicide,PAICS,PAICS,Paics,PAICS,MHb-enriched,MHb,0.08316522907454754,0.11369503485415279,0.04217994195420822,0.07533670033670128,0.4735007,8.273137894300174e-06,0.07533670033670034,0.04217994195420832
