label,human_gene,mouse_gene,enriched_region,direction,region,mean_log1p_norm_expr,pct_expr,expr_z_by_gene
KCNA6 / Kcna6,KCNA6,Kcna6,LHb,down_in_suicide,LHb,0.10139281286165702,4.830699774266354,0.7071067811865474
KCNA6 / Kcna6,KCNA6,Kcna6,LHb,down_in_suicide,MHb,0.03303748564259339,1.5923120089786709,-0.7071067811865476
WSCD2 / Wscd2,WSCD2,Wscd2,LHb,up_in_suicide,LHb,0.06481492332527052,3.269912931312472,0.7071067811865475
WSCD2 / Wscd2,WSCD2,Wscd2,LHb,up_in_suicide,MHb,0.007410018747892614,0.39983164983165026,-0.7071067811865475
CHGA / Chga,CHGA,Chga,LHb,up_in_suicide,LHb,0.23310180234540007,10.003224766204426,0.7071067811865475
CHGA / Chga,CHGA,Chga,LHb,up_in_suicide,MHb,0.12456204503929079,7.673961840628615,-0.7071067811865476
CHST9 / Chst9,CHST9,Chst9,LHb,down_in_suicide,LHb,0.08387591406121038,3.6375362786197916,0.7071067811865476
CHST9 / Chst9,CHST9,Chst9,LHb,down_in_suicide,MHb,0.004649163434005596,0.224466891133558,-0.7071067811865476
DNAJB1 / Dnajb1,DNAJB1,Dnajb1,MHb,down_in_suicide,LHb,0.101013099343747,4.875846501128656,-0.7071067811865476
DNAJB1 / Dnajb1,DNAJB1,Dnajb1,MHb,down_in_suicide,MHb,0.1561353847478638,8.9085297418633,0.7071067811865476
HSPA1A / Hspa1a,HSPA1A,Hspa1a,MHb,down_in_suicide,LHb,0.13462318829255765,6.030312802321816,-0.7071067811865478
HSPA1A / Hspa1a,HSPA1A,Hspa1a,MHb,down_in_suicide,MHb,0.23174540539226787,11.539001122334929,0.7071067811865475
HSPA1B / Hspa1b,HSPA1B,Hspa1b,MHb,down_in_suicide,LHb,0.12415409288742514,5.585295066107694,-0.7071067811865477
HSPA1B / Hspa1b,HSPA1B,Hspa1b,MHb,down_in_suicide,MHb,0.2177480155619376,11.047979797980224,0.7071067811865475
RPL12 / Rpl12,RPL12,Rpl12,MHb,up_in_suicide,LHb,0.5163046272376176,21.483392454047028,-0.7071067811865462
RPL12 / Rpl12,RPL12,Rpl12,MHb,up_in_suicide,MHb,0.6149765641033664,27.34287317620646,0.7071067811865479
ESAM / Esam,ESAM,Esam,MHb,up_in_suicide,LHb,0.017811397322300977,0.8126410835214433,-0.7071067811865477
ESAM / Esam,ESAM,Esam,MHb,up_in_suicide,MHb,0.05467642998964041,3.4652076318742857,0.7071067811865475
GOLPH3L / Golph3l,GOLPH3L,Golph3l,MHb,down_in_suicide,LHb,0.038435189561914405,2.102547565301511,-0.707106781186547
GOLPH3L / Golph3l,GOLPH3L,Golph3l,MHb,down_in_suicide,MHb,0.05394387967623003,4.138608305274956,0.7071067811865477
PNO1 / Pno1,PNO1,Pno1,MHb,down_in_suicide,LHb,0.027635630251910598,1.4640438568203775,-0.7071067811865476
PNO1 / Pno1,PNO1,Pno1,MHb,down_in_suicide,MHb,0.05046603776407292,4.110549943883261,0.7071067811865476
YOD1 / Yod1,YOD1,Yod1,MHb,down_in_suicide,LHb,0.04275597812631288,2.1283456949371122,-0.7071067811865468
YOD1 / Yod1,YOD1,Yod1,MHb,down_in_suicide,MHb,0.05407619617066765,3.9702581369247882,0.7071067811865477
LIN7C / Lin7c,LIN7C,Lin7c,MHb,down_in_suicide,LHb,0.0819508483159689,4.0890035472428155,-0.7071067811865468
LIN7C / Lin7c,LIN7C,Lin7c,MHb,down_in_suicide,MHb,0.1032267172698157,6.741021324354677,0.7071067811865478
NUDT4 / Nudt4,NUDT4,Nudt4,MHb,down_in_suicide,LHb,0.18972734628606205,8.494034182521746,-0.7071067811865481
