mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Kcnip4,82.05303,3.6027205,0.0,0.0,0.7593034504998387,0.3637766554433221,LHb,KCNIP4,True
Lingo2,66.30559,3.3233755,0.0,0.0,0.5740728797162206,0.18378226711560045,LHb,LINGO2,True
Lrrtm4,58.210983,3.1026418,0.0,0.0,0.5222186391486617,0.16968294051627386,LHb,LRRTM4,True
mt-Cytb,55.056717,0.6475604,0.0,0.0,0.9628506933247339,0.9581930415263749,LHb,MT-CYTB,True
Grm7,53.5221,3.7955983,0.0,0.0,0.41812318606901,0.0737233445566779,LHb,GRM7,True
Adgrb3,53.013153,2.096664,0.0,0.0,0.6250886810706224,0.3917648709315376,LHb,ADGRB3,True
Rbfox1,52.979103,3.0595815,0.0,0.0,0.4819735569171235,0.1747334455667789,LHb,RBFOX1,True
Grik2,49.121643,2.333989,0.0,0.0,0.5132537891002902,0.2556818181818182,LHb,GRIK2,True
Nrxn3,48.672207,2.7484822,0.0,0.0,0.4513382779748468,0.1447811447811448,LHb,NRXN3,True
Mast4,41.707382,2.6764836,0.0,0.0,0.3792325056433409,0.11693322109988777,LHb,MAST4,True
Lrp1b,41.454872,1.4598827,0.0,0.0,0.6468881006127056,0.4969837261503928,LHb,LRP1B,True
Cadps,41.36607,3.1056535,0.0,0.0,0.34298613350532087,0.07533670033670034,LHb,CADPS,True
Grm5,41.266136,1.9902973,0.0,0.0,0.4688810061270558,0.24242424242424243,LHb,GRM5,True
Csmd3,40.724117,1.7908839,0.0,0.0,0.5222831344727508,0.30990460157126826,LHb,CSMD3,True
Gabrb1,39.17728,2.330358,0.0,0.0,0.38935827152531444,0.14990179573512907,LHb,GABRB1,True
Spock3,38.31015,2.714404,0.0,0.0,0.3419542083198968,0.09876543209876543,LHb,SPOCK3,True
Cdh18,37.35686,3.396295,1.9619457528917552e-305,7.052105011783143e-303,0.2961625282167043,0.05015432098765432,LHb,CDH18,True
Kalrn,36.28532,3.516699,2.7574639736773532e-288,8.920395954846238e-286,0.2837149306675266,0.04580527497194164,LHb,KALRN,True
Zfhx3,35.601593,2.9581795,1.3237182804521154e-277,3.965026515983883e-275,0.29725894872621733,0.06397306397306397,LHb,ZFHX3,True
Nlgn1,35.240734,1.095518,4.757476501437433e-272,1.3267617657025943e-269,0.7164785553047404,0.6161616161616161,LHb,NLGN1,True
Gabrg3,34.50711,3.3120418,6.274867189709196e-261,1.637031883766875e-258,0.27378265075782005,0.04636644219977553,LHb,GABRG3,True
Kcnh7,33.989243,2.1203773,3.212541177243005e-253,7.99428516029317e-251,0.3527894227668494,0.1414141414141414,LHb,KCNH7,True
Grid2,33.324173,1.6130275,1.7245558905763156e-243,4.102160519128222e-241,0.4595291841341503,0.2826178451178451,LHb,GRID2,True
Cacna2d1,33.21801,3.4670773,5.915958067623579e-242,1.3868206049827738e-239,0.25746533376330216,0.03766835016835017,LHb,CACNA2D1,True
Kcnq3,32.94316,3.4218996,5.300396809808545e-238,1.1907488666479614e-235,0.25572396001289904,0.03731762065095398,LHb,KCNQ3,True
Kcnc2,32.52036,3.0914156,5.497352675709538e-232,1.2016172909405645e-229,0.26475330538535957,0.05057519640852974,LHb,KCNC2,True
Csmd1,32.331593,1.4738307,2.517424783115203e-229,5.357808666695843e-227,0.4871331828442438,0.3402777777777778,LHb,CSMD1,True
Unc5d,32.06849,3.381749,1.2128894640816757e-225,2.452310885190138e-223,0.2506933247339568,0.03851010101010101,LHb,UNC5D,True
Dab1,31.9113,3.4533367,1.861111700289413e-223,3.6711563112416165e-221,0.24811351177039664,0.03710718294051627,LHb,DAB1,True
Rora,31.29664,1.615407,5.184138061610338e-215,9.865109781946732e-213,0.4229603353756853,0.26374859708193044,LHb,RORA,True
Htr2c,30.772943,2.5208642,6.032693137592469e-208,1.1215955344891746e-205,0.2821025475653015,0.08333333333333333,LHb,HTR2C,True
Rasgrf1,30.639711,2.3383164,3.623351586442961e-206,6.585136169743246e-204,0.2835214446952596,0.08375420875420875,LHb,RASGRF1,True
Frmd4a,30.442957,1.4243747,1.4847705662833255e-203,2.6684626566258658e-201,0.4560464366333441,0.30625701459034793,LHb,FRMD4A,True
Cntn4,30.41178,2.5469177,3.837880238902843e-203,6.821726688379505e-201,0.2753305385359561,0.07814253647586981,LHb,CNTN4,True
Pcdh15,30.181904,2.2550704,4.092875188190028e-200,7.195897409671056e-198,0.2984198645598194,0.10816498316498316,LHb,PCDH15,True
Unc5c,29.815393,2.8730993,2.467729417588596e-195,4.201634034683741e-193,0.2507578200580458,0.05534511784511784,LHb,UNC5C,True
mt-Co1,29.074053,0.32508907,7.642441064649164e-186,1.2486513557646486e-183,0.9832312157368591,0.98253367003367,LHb,MT-CO1,True
Arpp21,28.881294,3.4858959,2.0509437421789638e-183,3.317401502974474e-181,0.22083198968074816,0.028689674523007858,LHb,ARPP21,True
Cacna1a,28.73736,3.6694198,1.3031440115060835e-181,2.066505331971657e-179,0.21696227023540793,0.025673400673400674,LHb,CACNA1A,True
Shisa9,28.107414,3.6225588,7.95154532772123e-174,1.2133608082631217e-171,0.21218961625282168,0.024831649831649833,LHb,SHISA9,True
Ntng1,28.102146,2.1228201,9.221982335897425e-174,1.3940706942349613e-171,0.2995162850693325,0.130331088664422,LHb,NTNG1,True
Grin2b,27.948885,2.2792234,6.80110087138964e-172,1.0092459320617195e-169,0.2752015478877781,0.10016835016835017,LHb,GRIN2B,True
Gria3,27.658583,2.0480025,2.2004859618183686e-168,3.1498106577355855e-166,0.2921638181231861,0.12135241301907969,LHb,GRIA3,True
Chl1,27.425318,2.6958594,1.368792334466149e-165,1.9252361747817358e-163,0.2344405030635279,0.05331088664421998,LHb,CHL1,True
