l04,Hbx,Lateral,Marginal,Oval/Medial
0,0.16844602609727166,0.08422301304863583,0.04744958481613286,0.6998813760379596
1,0.0532459369668672,0.07192242075963007,0.005746610397773189,0.8690850318757295
2,0.17511520737327188,0.0,0.30414746543778803,0.5207373271889401
4,0.26109391124871,0.06914344685242518,0.11867905056759546,0.5510835913312694
5,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,1.0
9,0.024740227610094014,0.01632855022266205,0.7847600197921821,0.17417120237506184
10,0.0,0.0,0.07692307692307693,0.9230769230769231
13,0.2508710801393728,0.1672473867595819,0.0,0.5818815331010453
15,0.0,0.0,0.0,1.0
16,0.0,0.0,0.0,1.0
21,0.0,0.0,0.0,1.0
23,0.0,0.0,0.5,0.5
24,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,1.0
