mouse_lhb_region,mouse_gene,avg_log_expr,pct_expr,logFC_vs_other_lhb_regions
Hbx,Trpm3,3.820454,0.936405,1.8781098
Hbx,Kctd8,2.6193535,0.79442185,1.7354331
Hbx,Tenm2,3.759898,0.9250812,1.6218548
Hbx,Thsd7b,2.1021261,0.6942497,1.5992262
Hbx,Galntl6,2.7120388,0.77612954,1.5938145
Hbx,Erbb4,2.562524,0.81097203,1.5751355
Hbx,Brinp3,2.0858045,0.6916365,1.3699924
Hbx,Mctp1,1.6328657,0.5879801,1.2848655
Hbx,Pcdh9,3.5120971,0.9041757,1.2733383
Hbx,Nwd2,2.6146507,0.82403797,1.263199
Hbx,Nnat,1.9242158,0.67421526,1.2536808
Hbx,Slc8a1,2.0048816,0.6968629,1.2130345
Hbx,Vav3,2.050852,0.7282211,1.2105689
Hbx,Mgat4c,2.6660583,0.810101,1.2015941
Hbx,Cntnap2,4.0310497,0.9459867,1.1482861
Hbx,Htr2c,1.8481349,0.66289145,1.1404114
Hbx,Ndst4,1.3236612,0.516553,1.1380963
Hbx,D130079A08Rik,1.4025594,0.5513955,1.1273699
Hbx,Msi2,2.4475508,0.8092299,1.1244183
Hbx,Thsd7a,2.0397325,0.7081867,1.1078671
Hbx,Ncam2,2.518633,0.79877716,1.0423545
Hbx,Lcorl,1.5367543,0.5975618,1.0248032
Hbx,Prkd1,1.2872251,0.51045555,0.99218106
Hbx,Dach1,1.3681632,0.53832954,0.9637659
Hbx,Opcml,2.4717164,0.79006654,0.9209162
Hbx,Klhl1,1.1796354,0.4817099,0.91449624
Hbx,Pde1a,1.3337439,0.5461691,0.91090596
Hbx,Frmpd4,1.8833754,0.6576651,0.9094307
Hbx,Sema3d,0.9640296,0.40853816,0.8924525
Hbx,Galnt13,1.978323,0.6864101,0.8860047
Hbx,D130009I18Rik,1.0171986,0.42073345,0.8799488
Hbx,Slit2,1.4859537,0.58885115,0.875145
Hbx,Nrg3,3.7526233,0.9294365,0.86544657
Hbx,Lrp1b,2.9301028,0.85452515,0.8646238
Hbx,Dlgap1,2.3462718,0.7630636,0.85663307
Hbx,Robo1,2.8132174,0.8440724,0.8456006
Hbx,Rbms3,1.8614223,0.670731,0.8434994
Hbx,Pde4d,2.3010178,0.7630636,0.80277836
Hbx,Syt9,1.2862082,0.53397423,0.79312295
Hbx,Sorcs3,1.2765673,0.5052292,0.78823817
Hbx,Sntg1,1.8827937,0.65853614,0.7696346
Hbx,Gng8,1.2579256,0.46864352,0.7587602
Hbx,Ebf1,1.0360929,0.44076857,0.7302431
Hbx,Pard3b,0.9339836,0.41812018,0.72514004
Hbx,Fgf14,3.1528046,0.87107533,0.7211826
Hbx,Prkg1,1.7627498,0.6367596,0.7123455
Hbx,Cdh10,1.2392657,0.5017449,0.70771056
Hbx,Gria4,2.0518565,0.70470244,0.70454836
Hbx,Gm28905,0.9658651,0.41115144,0.7021364
Hbx,Grin3a,1.1263943,0.4817099,0.69215614
Hbx,Pbx1,1.8458318,0.6750863,0.69172764
Hbx,Arl15,1.0759006,0.45035058,0.68135977
Hbx,Kcnd3,1.1278774,0.4608037,0.6653621
Hbx,Lpar1,0.8462307,0.3946007,0.6544935
Hbx,Macrod2,2.4157548,0.7656768,0.65057325
Hbx,Tcf7l2,1.3152618,0.53832954,0.64719486
Hbx,Slc2a13,1.3667935,0.544427,0.6360683
Hbx,Csmd3,2.1724088,0.7012182,0.6329769
Hbx,Sst,0.6876091,0.25609705,0.6267095
Hbx,Cdh18,1.4157467,0.47735444,0.6196767
Hbx,Dok6,1.2416421,0.502616,0.608454
Hbx,Olfm1,1.3040173,0.5235215,0.5983991
Hbx,Cacna1e,1.6565019,0.6385017,0.5920342
Hbx,Kcnh5,0.9323992,0.4146358,0.5880841
Hbx,Lhx9,0.8390439,0.4050538,0.57876647
Hbx,Necab2,1.0570219,0.4608037,0.56972885
