celltype,pheno,n_mouse_de_genes,n_human_scz_genes,n_overlap,n_concordant_direction,n_discordant_direction,odds_ratio,p_value,overlap_genes,concordant_genes,discordant_genes,p_adj,neg_log10_p_adj
Endothelial,susceptible,1853,173,33,27,6,2.8148430141287286,1.4025638649933777e-06,ACSL5;ADGRL4;CCDC141;CDH5;CEBPD;COL4A1;COL4A2;ERG;FAM76A;FAS;FLT1;FZD4;GFRA1;ICAM2;IL1R1;ITGA1;NAV3;NEDD9;PDCL3;PECAM1;PODXL;RBMS1;RBMS2;RBPMS;RNF213;SERPINB9;SRPK1;ST3GAL1;TECPR1;TGM2;TNS1;VWF;ZBTB16,ACSL5;ADGRL4;CDH5;CEBPD;COL4A1;COL4A2;ERG;FAS;FLT1;FZD4;ICAM2;IL1R1;ITGA1;NAV3;NEDD9;PECAM1;PODXL;RBMS1;RBMS2;RBPMS;SERPINB9;SRPK1;ST3GAL1;TGM2;TNS1;VWF;ZBTB16,CCDC141;FAM76A;GFRA1;PDCL3;RNF213;TECPR1,6.3115373924702e-05,4.199864840479898
Endothelial,tst,2811,173,40,29,11,2.255693365496021,2.2519919397434997e-05,ADGRL4;CCDC141;CDH5;CEBPD;COL4A1;COL4A2;EIF3B;ERG;ERRFI1;FAM76A;FAS;FLT1;FZD4;GFRA1;GPKOW;ICAM2;IL1R1;ITGA1;NAV3;NEDD9;PDCL3;PECAM1;PODXL;PUF60;RBMS1;RBMS2;RBPMS;RNF213;SERPINB9;SLC52A3;SMAD6;SRPK1;SSRP1;ST3GAL1;STARD8;STK25;TECPR1;TGM2;TNS1;VWF,ADGRL4;CDH5;CEBPD;COL4A1;COL4A2;ERG;ERRFI1;FAS;FLT1;FZD4;ICAM2;IL1R1;ITGA1;NAV3;NEDD9;PECAM1;PODXL;RBMS1;RBMS2;RBPMS;SERPINB9;SLC52A3;SMAD6;SRPK1;ST3GAL1;STARD8;TGM2;TNS1;VWF,CCDC141;EIF3B;FAM76A;GFRA1;GPKOW;PDCL3;PUF60;RNF213;SSRP1;STK25;TECPR1,0.0005066981864422874,3.2952506501192693
Endothelial,resilient,2344,173,34,26,8,2.2495125977140367,7.350620874002336e-05,ADGRL4;CCDC141;CDH5;CEBPD;COL4A1;COL4A2;ERG;ERRFI1;FAM76A;FAS;FLT1;FZD4;GFRA1;ICAM2;ITGA1;LATS2;NAV3;NEDD9;PDCL3;PECAM1;PODXL;PUF60;RBMS1;RBPMS;SERPINB9;SSRP1;ST3GAL1;STARD8;TECPR1;TGM2;TNFRSF12A;TNS1;UPF3B;VWF,ADGRL4;CDH5;CEBPD;COL4A1;COL4A2;ERG;ERRFI1;FAS;FLT1;FZD4;ICAM2;ITGA1;LATS2;NAV3;NEDD9;PECAM1;PODXL;RBMS1;RBPMS;SERPINB9;ST3GAL1;STARD8;TGM2;TNFRSF12A;TNS1;VWF,CCDC141;FAM76A;GFRA1;PDCL3;PUF60;SSRP1;TECPR1;UPF3B,0.0011025931311003504,2.9575847174022845
Endothelial,spt,102,173,4,4,0,5.66501630237894,0.006664847859290856,ADGRL4;CDH5;FLT1;PECAM1,ADGRL4;CDH5;FLT1;PECAM1,,0.07497953841702212,1.1250572374748478
Pericytes,resilient,144,173,3,3,0,2.930287859824781,0.08847878200380749,ITGA1;RBPMS;TNS1,ITGA1;RBPMS;TNS1,,0.7723295255850614,0.11219736208826193
Pericytes,tst,154,173,3,3,0,2.7350603817686014,0.10297727007800819,ITGA1;RBPMS;TNS1,ITGA1;RBPMS;TNS1,,0.7723295255850614,0.11219736208826193
Pericytes,susceptible,104,173,1,1,0,1.3237186723865433,0.5336099811068351,ITGA1,ITGA1,,1.0,-0.0
Oligodendrocytes,spt,1022,173,7,2,5,0.9363938512671375,0.620358327798811,ARL8A;DAAM2;ERRFI1;EXOC3;FAM76A;NAV3;PUF60,ERRFI1;NAV3,ARL8A;DAAM2;EXOC3;FAM76A;PUF60,1.0,-0.0
LHb,tst,153,173,1,0,1,0.8951193390452876,0.6747842379050752,GFRA1,,GFRA1,1.0,-0.0
Oligodendrocytes,resilient,5661,173,39,7,32,0.9283199796110164,0.6861997089399017,ANKRD10;ARFGAP2;ARL8A;CAPN15;CCDC141;CD3EAP;COMMD9;DAAM2;EIF3B;ERI3;ERRFI1;EXOC3;FAM53C;FAM76A;FLT1;FZR1;GFRA1;KXD1;LATS2;LRRC47;MYBBP1A;NAV3;NCAPH2;NOC2L;PAF1;PDCL3;PRKRIP1;PUF60;SPPL3;SREBF1;SRPK1;SSRP1;STK19;STK25;TRMT2A;UCK1;UPF3B;WDR46;YKT6,ANKRD10;CAPN15;CCDC141;ERRFI1;LATS2;NAV3;SRPK1,ARFGAP2;ARL8A;CD3EAP;COMMD9;DAAM2;EIF3B;ERI3;EXOC3;FAM53C;FAM76A;FLT1;FZR1;GFRA1;KXD1;LRRC47;MYBBP1A;NCAPH2;NOC2L;PAF1;PDCL3;PRKRIP1;PUF60;SPPL3;SREBF1;SSRP1;STK19;STK25;TRMT2A;UCK1;UPF3B;WDR46;YKT6,1.0,-0.0
Microglia,si,159,173,1,0,1,0.8609066823667942,0.6888452985552407,GFRA1,,GFRA1,1.0,-0.0
