region,pheno,n_mouse_de_genes,n_human_scz_genes,n_overlap,n_concordant_direction,n_discordant_direction,odds_ratio,p_value,overlap_genes,concordant_genes,discordant_genes,p_adj,neg_log10_p_adj
Oval/Medial,tst,68,173,1,0,1,1.9770045123221103,0.4016906315369165,GFRA1,,GFRA1,1.0,-0.0
Oval/Medial,spt,269,173,2,0,2,0.9892458987668923,0.6023685240404846,GFRA1;NAV3,,GFRA1;NAV3,1.0,-0.0
Oval/Medial,resilient,253,173,1,0,1,0.5213639719453673,0.8532226093546442,GFRA1,,GFRA1,1.0,-0.0
Oval/Medial,susceptible,823,173,4,1,3,0.6366835005888261,0.8701238732607364,ANKRD10;GFRA1;NAV3;STK25,STK25,ANKRD10;GFRA1;NAV3,1.0,-0.0
Oval/Medial,si,477,173,2,0,2,0.5509387503847337,0.8763892421219456,GFRA1;NAV3,,GFRA1;NAV3,1.0,-0.0
Hbx,tst,5855,173,36,4,32,0.7690839096190054,0.9342889934195031,APEX1;ARFGAP2;ARL8A;C2CD2L;CCAR2;CD3EAP;COMMD9;ERI3;ERRFI1;EXOC3;FAM76A;FZR1;GPKOW;IKBIP;KLHDC4;KXD1;LIN7B;LRRC47;LYRM9;MYPOP;NCAPH2;NOC2L;PAF1;PDCL3;PRKRIP1;PUF60;RNF25;SPPL3;SRPK1;SSRP1;STK19;STK25;STRIP1;TECPR1;UPF3B;YKT6,ERRFI1;IKBIP;MYPOP;SRPK1,APEX1;ARFGAP2;ARL8A;C2CD2L;CCAR2;CD3EAP;COMMD9;ERI3;EXOC3;FAM76A;FZR1;GPKOW;KLHDC4;KXD1;LIN7B;LRRC47;LYRM9;NCAPH2;NOC2L;PAF1;PDCL3;PRKRIP1;PUF60;RNF25;SPPL3;SSRP1;STK19;STK25;STRIP1;TECPR1;UPF3B;YKT6,1.0,-0.0
Hbx,spt,1523,173,7,0,7,0.5934211781161586,0.9445709131710791,APEX1;EXOC3;FAM76A;LYRM9;PDCL3;SSRP1;UPF3B,,APEX1;EXOC3;FAM76A;LYRM9;PDCL3;SSRP1;UPF3B,1.0,-0.0
Hbx,si,1428,173,6,0,6,0.5413982162257763,0.9610789913031536,FAM76A;FZR1;LRRC47;NAV3;SSRP1;UPF3B,,FAM76A;FZR1;LRRC47;NAV3;SSRP1;UPF3B,1.0,-0.0
Hbx,resilient,4,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Lateral,resilient,1,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Lateral,spt,2,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Lateral,susceptible,1,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Marginal,resilient,79,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Marginal,si,19,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Marginal,spt,7,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Marginal,susceptible,62,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Marginal,tst,12,173,0,0,0,0.0,1.0,,,,1.0,-0.0
