region,pheno,n_mouse_de_genes,n_human_scz_genes,n_overlap,n_concordant_direction,n_discordant_direction,odds_ratio,p_value,overlap_genes,concordant_genes,discordant_genes,p_adj,neg_log10_p_adj
Ventral/Dorsal,tst,9593,173,73,16,57,1.0565063025210084,0.3888415015018836,ACSL5;ANKRD10;ANKRD54;APEX1;ARFGAP2;ARL8A;ATG2A;C2CD2L;CCAR2;CCDC141;CD3EAP;COMMD9;DOLK;DVL2;EHMT2;EIF3B;ERI3;ERRFI1;EXOC3;FAAH;FAM53C;FAM76A;FKBP7;FZR1;GFRA1;GPKOW;HECTD3;HGH1;IKBIP;INPP5J;KLHDC4;KXD1;LATS2;LIN7B;LRRC47;LYRM9;MYBBP1A;MYPOP;NAV3;NCAPH2;NLN;NOC2L;PAF1;PDCL3;PECAM1;PMS2;PRKRIP1;PUF60;RAB27A;RAI2;RBMS1;RBMS2;RNF25;RNF31;SERPINB9;SETDB1;SLC25A37;SPPL3;SREBF1;SRPK1;SSRP1;ST3GAL1;STK19;STK25;STRIP1;TBC1D13;TECPR1;TRMT2A;UCK1;UPF3B;WDR46;YKT6;ZMYND19,ACSL5;ANKRD10;ERRFI1;FKBP7;GFRA1;IKBIP;INPP5J;LATS2;MYPOP;RAB27A;RAI2;RBMS1;SERPINB9;SLC25A37;SRPK1;ST3GAL1,ANKRD54;APEX1;ARFGAP2;ARL8A;ATG2A;C2CD2L;CCAR2;CCDC141;CD3EAP;COMMD9;DOLK;DVL2;EHMT2;EIF3B;ERI3;EXOC3;FAAH;FAM53C;FAM76A;FZR1;GPKOW;HECTD3;HGH1;KLHDC4;KXD1;LIN7B;LRRC47;LYRM9;MYBBP1A;NAV3;NCAPH2;NLN;NOC2L;PAF1;PDCL3;PECAM1;PMS2;PRKRIP1;PUF60;RBMS2;RNF25;RNF31;SETDB1;SPPL3;SREBF1;SSRP1;STK19;STK25;STRIP1;TBC1D13;TECPR1;TRMT2A;UCK1;UPF3B;WDR46;YKT6;ZMYND19,1.0,-0.0
Dorsal,si,305,173,2,2,0,0.8876150772972035,0.6600276636986493,EHMT2;TECPR1,EHMT2;TECPR1,,1.0,-0.0
Dorsal,spt,1150,173,7,4,3,0.8173639439648357,0.7489514749452857,ANKRD10;EHMT2;ERI3;SPPL3;SRPK1;ST3GAL1;TECPR1,EHMT2;ERI3;SPPL3;TECPR1,ANKRD10;SRPK1;ST3GAL1,1.0,-0.0
Ventral/Dorsal,spt,3627,173,20,1,19,0.7136087962585459,0.9412308317863615,APEX1;ARL8A;CCDC141;CD3EAP;COMMD9;EIF3B;EXOC3;FAM76A;KXD1;LYRM9;NOC2L;PDCL3;PRKRIP1;PUF60;SETDB1;SRPK1;STK19;STK25;TECPR1;UPF3B,SRPK1,APEX1;ARL8A;CCDC141;CD3EAP;COMMD9;EIF3B;EXOC3;FAM76A;KXD1;LYRM9;NOC2L;PDCL3;PRKRIP1;PUF60;SETDB1;STK19;STK25;TECPR1;UPF3B,1.0,-0.0
Ventral/Dorsal,susceptible,2635,173,13,3,10,0.6407036613272311,0.9592679284337339,ARL8A;COMMD9;EXOC3;GFRA1;KXD1;LATS2;PUF60;SPPL3;SRPK1;SSRP1;STK25;TECPR1;UPF3B,GFRA1;LATS2;SRPK1,ARL8A;COMMD9;EXOC3;KXD1;PUF60;SPPL3;SSRP1;STK25;TECPR1;UPF3B,1.0,-0.0
Ventral/Dorsal,resilient,3073,173,14,1,13,0.5825597628196825,0.9855233769290057,ARL8A;CCDC141;ERI3;KXD1;LYRM9;PDCL3;PUF60;RBMS1;RNF25;SPPL3;SSRP1;STK25;TECPR1;UPF3B,RBMS1,ARL8A;CCDC141;ERI3;KXD1;LYRM9;PDCL3;PUF60;RNF25;SPPL3;SSRP1;STK25;TECPR1;UPF3B,1.0,-0.0
Dorsal,resilient,186,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Dorsal,susceptible,104,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Dorsal,tst,28,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Lateral,resilient,6,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Lateral,si,3,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Lateral,spt,37,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Lateral,susceptible,14,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Lateral,tst,9,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Superior/Dorsal,resilient,15,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Superior/Dorsal,spt,2,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Superior/Dorsal,susceptible,10,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Superior/Dorsal,tst,1,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Ventral,resilient,194,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Ventral,si,77,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Ventral,spt,67,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Ventral,susceptible,78,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Ventral,tst,14,173,0,0,0,0.0,1.0,,,,1.0,-0.0
Ventral/Dorsal,si,23,173,0,0,0,0.0,1.0,,,,1.0,-0.0
