human_cluster,mouse_lhb_region,mean_module_score,n_marker_genes
LHb.1,Hbx,0.05902618542313576,25
LHb.1,Lateral,-0.009965716861188412,25
LHb.1,Marginal,-0.083746537566185,25
LHb.1,Oval/Medial,0.00865832157433033,25
LHb.2,Hbx,0.20805734395980835,25
LHb.2,Lateral,0.14300382137298584,25
LHb.2,Marginal,-0.10329267382621765,25
LHb.2,Oval/Medial,-0.016682038083672523,25
LHb.3,Hbx,-0.04326215013861656,25
LHb.3,Lateral,0.04903123155236244,25
LHb.3,Marginal,-0.09756852686405182,25
LHb.3,Oval/Medial,0.015910860151052475,25
LHb.4,Hbx,-0.0841783657670021,25
LHb.4,Lateral,-0.049884945154190063,25
LHb.4,Marginal,-0.15913026034832,25
LHb.4,Oval/Medial,0.03886688873171806,25
LHb.5,Hbx,-0.01631585694849491,25
LHb.5,Lateral,-0.007379545830190182,25
LHb.5,Marginal,-0.12163597345352173,25
LHb.5,Oval/Medial,0.02216341532766819,25
LHb.6,Hbx,0.20362360775470734,25
LHb.6,Lateral,0.03492983803153038,25
LHb.6,Marginal,-0.017238173633813858,25
LHb.6,Oval/Medial,-0.02068229392170906,25
LHb.7,Hbx,0.09502198547124863,25
LHb.7,Lateral,0.27154937386512756,25
LHb.7,Marginal,-0.20912818610668182,25
LHb.7,Oval/Medial,0.0004915299359709024,25
MHb.1,Hbx,0.035530686378479004,25
MHb.1,Lateral,0.015358095057308674,25
MHb.1,Marginal,0.02254047803580761,25
MHb.1,Oval/Medial,-0.0086071090772748,25
MHb.2,Hbx,0.12071967124938965,25
MHb.2,Lateral,0.054585859179496765,25
MHb.2,Marginal,-0.12087727338075638,25
MHb.2,Oval/Medial,0.0028035256545990705,25
MHb.3,Hbx,0.01462880615144968,25
MHb.3,Lateral,-0.06002988666296005,25
MHb.3,Marginal,-0.0632486641407013,25
MHb.3,Oval/Medial,0.014209821820259094,25
