human_marker_gene,human_cluster,mouse_region,mean_expr_z,pct_expr
MHb.1: Pde11a,MHb.1,Ventral,-0.40567324,3.9239623299616238
MHb.1: Pde11a,MHb.1,Ventral/Dorsal,-0.49474186,4.9023680930619
MHb.1: Pde11a,MHb.1,Lateral,1.995226,40.9209383145095
MHb.1: Pde11a,MHb.1,Dorsal,-0.6195238,1.7241379310344824
MHb.1: Pde11a,MHb.1,Superior/Dorsal,-0.47528675,3.698630136986303
MHb.1: F13a1,MHb.1,Ventral,-1.7176123,0.06975933031042902
MHb.1: F13a1,MHb.1,Ventral/Dorsal,0.78603256,1.4540922309929367
MHb.1: F13a1,MHb.1,Lateral,0.5429356,0.5212858384013901
MHb.1: F13a1,MHb.1,Dorsal,-0.53339034,0.4015115729806331
MHb.1: F13a1,MHb.1,Superior/Dorsal,0.9220343,0.4109589041095891
MHb.1: Tac1,MHb.1,Ventral,-0.74049646,4.691314963376341
MHb.1: Tac1,MHb.1,Ventral/Dorsal,0.31734985,15.413377648525179
MHb.1: Tac1,MHb.1,Lateral,-0.06257942,12.07645525629885
MHb.1: Tac1,MHb.1,Dorsal,-1.2112708,3.2357109116674625
MHb.1: Tac1,MHb.1,Superior/Dorsal,1.6969967,17.123287671232838
MHb.1: Cck,MHb.1,Ventral,-0.50458133,5.999302406696881
MHb.1: Cck,MHb.1,Ventral/Dorsal,0.3807597,14.54092230992939
MHb.1: Cck,MHb.1,Lateral,-0.26283532,10.16507384882709
MHb.1: Cck,MHb.1,Dorsal,-1.2994057,3.4010392064241945
MHb.1: Cck,MHb.1,Superior/Dorsal,1.6860623,15.479452054794487
MHb.1: Mme,MHb.1,Ventral,-1.8026184,3.5751656784094794
MHb.1: Mme,MHb.1,Ventral/Dorsal,0.035317264,23.680930619028114
MHb.1: Mme,MHb.1,Lateral,0.60664487,14.335360556038232
MHb.1: Mme,MHb.1,Dorsal,-0.014485913,13.863958431743026
MHb.1: Mme,MHb.1,Superior/Dorsal,1.1751424,13.287671232876688
MHb.1: Frem2,MHb.1,Ventral,-0.4138489,0.10463899546564352
