compartment,mouse_region,human_cluster,module_marker_depth,n_marker_genes_mapped,mean_module_score
LHb,Hbx,LHb.1,10,10,0.1816612035036087
LHb,Lateral,LHb.1,10,10,-0.03817420080304146
LHb,Marginal,LHb.1,10,10,-0.04279029741883278
LHb,Oval/Medial,LHb.1,10,10,-0.007803889457136393
LHb,Hbx,LHb.2,10,10,0.041224319487810135
LHb,Lateral,LHb.2,10,10,0.11653640121221542
LHb,Marginal,LHb.2,10,10,-0.0766100361943245
LHb,Oval/Medial,LHb.2,10,10,-0.001980229513719678
LHb,Hbx,LHb.3,10,10,0.07828803360462189
LHb,Lateral,LHb.3,10,10,0.08481711894273758
LHb,Marginal,LHb.3,10,10,-0.1717945635318756
LHb,Oval/Medial,LHb.3,10,10,0.012682336382567883
LHb,Hbx,LHb.4,10,10,-0.27085715532302856
LHb,Lateral,LHb.4,10,10,-0.09248524904251099
LHb,Marginal,LHb.4,10,10,-0.17900341749191284
LHb,Oval/Medial,LHb.4,10,10,0.0645979791879654
LHb,Hbx,LHb.5,10,10,0.1226208508014679
LHb,Lateral,LHb.5,10,10,0.05663041025400162
LHb,Marginal,LHb.5,10,10,-0.09509080648422241
LHb,Oval/Medial,LHb.5,10,10,-0.0017818509368225932
LHb,Hbx,LHb.6,10,10,0.1497507244348526
LHb,Lateral,LHb.6,10,10,0.04368799924850464
LHb,Marginal,LHb.6,10,10,0.0076378947123885155
LHb,Oval/Medial,LHb.6,10,10,-0.020130952820181847
LHb,Hbx,LHb.7,10,10,0.06293018907308578
LHb,Lateral,LHb.7,10,10,0.4431767463684082
LHb,Marginal,LHb.7,10,10,-0.18727944791316986
LHb,Oval/Medial,LHb.7,10,10,-0.015134829096496105
LHb,Hbx,MHb.1,10,10,-0.007970547303557396
LHb,Lateral,MHb.1,10,10,0.036134008318185806
LHb,Marginal,MHb.1,10,10,0.07125303149223328
LHb,Oval/Medial,MHb.1,10,10,-0.014058180153369904
LHb,Hbx,MHb.2,10,10,0.15484674274921417
LHb,Lateral,MHb.2,10,10,0.09274674952030182
LHb,Marginal,MHb.2,10,10,-0.21804693341255188
LHb,Oval/Medial,MHb.2,10,10,0.011866404674947262
LHb,Hbx,MHb.3,10,10,0.024838188663125038
LHb,Lateral,MHb.3,10,10,-0.029256252571940422
LHb,Marginal,MHb.3,10,10,-0.026439722627401352
LHb,Oval/Medial,MHb.3,10,10,0.00443549919873476
LHb,Hbx,LHb.1,15,15,0.09954965859651566
LHb,Lateral,LHb.1,15,15,-0.01088821329176426
LHb,Marginal,LHb.1,15,15,-0.06739965826272964
LHb,Oval/Medial,LHb.1,15,15,0.002011674689128995
LHb,Hbx,LHb.2,15,15,0.058372098952531815
LHb,Lateral,LHb.2,15,15,0.1162729486823082
LHb,Marginal,LHb.2,15,15,-0.06714973598718643
LHb,Oval/Medial,LHb.2,15,15,-0.005219225771725178
LHb,Hbx,LHb.3,15,15,0.022060032933950424
LHb,Lateral,LHb.3,15,15,0.04635832458734512
LHb,Marginal,LHb.3,15,15,-0.1080627590417862
LHb,Oval/Medial,LHb.3,15,15,0.011322090402245522
LHb,Hbx,LHb.4,15,15,-0.24152445793151855
LHb,Lateral,LHb.4,15,15,-0.10358967632055283
LHb,Marginal,LHb.4,15,15,-0.17947423458099365
LHb,Oval/Medial,LHb.4,15,15,0.06272553652524948
LHb,Hbx,LHb.5,15,15,0.0030049276538193226
LHb,Lateral,LHb.5,15,15,0.01719132624566555
LHb,Marginal,LHb.5,15,15,-0.0940072238445282
LHb,Oval/Medial,LHb.5,15,15,0.01352846808731556
LHb,Hbx,LHb.6,15,15,0.11381947994232178
LHb,Lateral,LHb.6,15,15,0.01184292696416378
LHb,Marginal,LHb.6,15,15,0.02898436039686203
LHb,Oval/Medial,LHb.6,15,15,-0.01718706078827381
LHb,Hbx,LHb.7,15,15,0.07206366211175919
LHb,Lateral,LHb.7,15,15,0.37242719531059265
LHb,Marginal,LHb.7,15,15,-0.1519692838191986
LHb,Oval/Medial,LHb.7,15,15,-0.015523613430559635
LHb,Hbx,MHb.1,15,15,-0.0014777083415538073
LHb,Lateral,MHb.1,15,15,0.056838758289813995
LHb,Marginal,MHb.1,15,15,-0.004301055800169706
LHb,Oval/Medial,MHb.1,15,15,-0.004206367302685976
LHb,Hbx,MHb.2,15,15,0.1369401216506958
LHb,Lateral,MHb.2,15,15,0.043630681931972504
LHb,Marginal,MHb.2,15,15,-0.1731335073709488
LHb,Oval/Medial,MHb.2,15,15,0.010691570118069649
LHb,Hbx,MHb.3,15,15,0.020856080576777458
LHb,Lateral,MHb.3,15,15,-0.03235388919711113
LHb,Marginal,MHb.3,15,15,-0.03990600258111954
LHb,Oval/Medial,MHb.3,15,15,0.007310011424124241
LHb,Hbx,LHb.1,25,25,0.05902618542313576
LHb,Lateral,LHb.1,25,25,-0.009965717792510986
LHb,Marginal,LHb.1,25,25,-0.083746537566185
LHb,Oval/Medial,LHb.1,25,25,0.008658326230943203
LHb,Hbx,LHb.2,25,25,0.20805734395980835
LHb,Lateral,LHb.2,25,25,0.14300382137298584
LHb,Marginal,LHb.2,25,25,-0.10329268127679825
LHb,Oval/Medial,LHb.2,25,25,-0.016682036221027374
LHb,Hbx,LHb.3,25,25,-0.04326214641332626
LHb,Lateral,LHb.3,25,25,0.04903123155236244
LHb,Marginal,LHb.3,25,25,-0.09756852686405182
LHb,Oval/Medial,LHb.3,25,25,0.015910863876342773
LHb,Hbx,LHb.4,25,25,-0.0841783657670021
LHb,Lateral,LHb.4,25,25,-0.049884945154190063
LHb,Marginal,LHb.4,25,25,-0.15913026034832
