compartment,mouse_region,human_cluster,n_depth_best_module,best_module_fraction,mean_score_across_depths
LHb,Hbx,LHb.6,2,0.4,0.17646421492099762
LHb,Hbx,MHb.2,1,0.2,0.11650390326976776
LHb,Hbx,LHb.2,1,0.2,0.10598801225423812
LHb,Hbx,LHb.1,1,0.2,0.06083686500787735
LHb,Hbx,LHb.7,0,0.0,0.06782486289739609
LHb,Hbx,MHb.1,0,0.0,0.024695313116535545
LHb,Hbx,MHb.3,0,0.0,0.010792834404855966
LHb,Hbx,LHb.5,0,0.0,-4.973774775862694e-05
LHb,Hbx,LHb.3,0,0.0,-0.015125877410173415
LHb,Hbx,LHb.4,0,0.0,-0.16432693898677825
LHb,Lateral,LHb.7,5,1.0,0.3165075063705444
LHb,Lateral,LHb.2,0,0.0,0.12493423521518707
LHb,Lateral,MHb.2,0,0.0,0.05288916490972042
LHb,Lateral,LHb.3,0,0.0,0.05198984593153
LHb,Lateral,LHb.6,0,0.0,0.04119204469025135
LHb,Lateral,MHb.1,0,0.0,0.025489888712763788
LHb,Lateral,LHb.5,0,0.0,0.014502480113878845
LHb,Lateral,LHb.1,0,0.0,-0.002064558304846287
LHb,Lateral,MHb.3,0,0.0,-0.04521704129874706
LHb,Lateral,LHb.4,0,0.0,-0.07031837701797486
LHb,Marginal,MHb.1,4,0.8,0.01634906851686537
LHb,Marginal,LHb.6,1,0.2,-0.015555582381784916
LHb,Marginal,MHb.3,0,0.0,-0.050984349101781845
LHb,Marginal,LHb.1,0,0.0,-0.08359940722584724
LHb,Marginal,LHb.2,0,0.0,-0.09800448715686798
LHb,Marginal,LHb.3,0,0.0,-0.11558554470539092
LHb,Marginal,LHb.5,0,0.0,-0.12488711178302765
LHb,Marginal,MHb.2,0,0.0,-0.13275976926088334
LHb,Marginal,LHb.7,0,0.0,-0.16155788004398347
LHb,Marginal,LHb.4,0,0.0,-0.168413969874382
LHb,Oval/Medial,LHb.4,5,1.0,0.0502277597784996
LHb,Oval/Medial,LHb.5,0,0.0,0.019118821644224227
LHb,Oval/Medial,LHb.3,0,0.0,0.015773721598088743
LHb,Oval/Medial,MHb.3,0,0.0,0.01127222441136837
LHb,Oval/Medial,LHb.1,0,0.0,0.007750025717541575
LHb,Oval/Medial,MHb.2,0,0.0,0.005318067461848841
LHb,Oval/Medial,LHb.2,0,0.0,-0.005717201367951929
LHb,Oval/Medial,MHb.1,0,0.0,-0.007411967916414142
LHb,Oval/Medial,LHb.7,0,0.0,-0.008557170222047716
LHb,Oval/Medial,LHb.6,0,0.0,-0.018794568628072737
