compartment,mouse_region,mouse_gene,gene_upper,mean_log_expr,pct_expr,mouse_logFC_vs_other_regions,excluded_gene
LHb,Hbx,0610005C13Rik,0610005C13RIK,0.0037854696,0.0026132404,0.0007274705,False
LHb,Hbx,0610009B22Rik,0610009B22RIK,0.11024256,0.08536582,0.057813555,False
LHb,Hbx,0610009E02Rik,0610009E02RIK,0.0,0.0,-0.0012285863,False
LHb,Hbx,0610009L18Rik,0610009L18RIK,0.0015939336,0.00087108015,0.0006091435,False
LHb,Hbx,0610009O20Rik,0610009O20RIK,0.06927442,0.048780516,0.03641966,False
LHb,Hbx,0610010F05Rik,0610010F05RIK,0.20033018,0.1358883,0.012604088,False
LHb,Hbx,0610010K14Rik,0610010K14RIK,0.019918362,0.02439025,0.00017434731,False
LHb,Hbx,0610012G03Rik,0610012G03RIK,0.19993444,0.12543537,0.097507164,False
LHb,Hbx,0610025J13Rik,0610025J13RIK,0.0,0.0,-0.00015591369,False
LHb,Hbx,0610030E20Rik,0610030E20RIK,0.043985315,0.03397214,0.003535483,False
LHb,Hbx,0610037L13Rik,0610037L13RIK,0.08128615,0.06358889,0.028594565,False
LHb,Hbx,0610038B21Rik,0610038B21RIK,0.0,0.0,-0.00035898646,False
LHb,Hbx,0610039K10Rik,0610039K10RIK,0.0,0.0,0.0,False
LHb,Hbx,0610040B10Rik,0610040B10RIK,0.0367058,0.03222998,0.016155204,False
LHb,Hbx,0610040F04Rik,0610040F04RIK,0.043195307,0.027874574,0.011625707,False
LHb,Hbx,0610040J01Rik,0610040J01RIK,0.13668485,0.07404181,0.08356881,False
LHb,Hbx,0610043K17Rik,0610043K17RIK,0.027080674,0.02351917,0.005171947,False
LHb,Hbx,0710001A04Rik,0710001A04RIK,0.0011675396,0.0017421603,0.00033364195,False
LHb,Hbx,1010001B22Rik,1010001B22RIK,0.0056858687,0.004355401,0.0043123434,False
LHb,Hbx,1010001N08Rik,1010001N08RIK,0.0,0.0,-0.0005135492,False
LHb,Hbx,1110002E22Rik,1110002E22RIK,0.0,0.0,-0.0013004569,False
LHb,Hbx,1110002J07Rik,1110002J07RIK,0.0003697228,0.00087108015,-0.00021129803,False
LHb,Hbx,1110002L01Rik,1110002L01RIK,0.04735018,0.039198626,0.011931032,False
LHb,Hbx,1110002O04Rik,1110002O04RIK,0.0015386618,0.00087108015,0.0011026426,False
LHb,Hbx,1110004E09Rik,1110004E09RIK,0.07474202,0.06184673,0.029255822,False
LHb,Hbx,1110004F10Rik,1110004F10RIK,0.33724153,0.18641077,0.1397063,False
LHb,Hbx,1110006O24Rik,1110006O24RIK,0.0012214873,0.0017421603,-0.00079538324,False
LHb,Hbx,1110008F13Rik,1110008F13RIK,0.13461292,0.0975609,0.04751066,False
LHb,Hbx,1110008L16Rik,1110008L16RIK,0.05744159,0.040940788,0.029774526,False
LHb,Hbx,1110008P14Rik,1110008P14RIK,0.16711476,0.11236921,0.09211325,False
LHb,Hbx,1110012L19Rik,1110012L19RIK,0.025372898,0.029616736,0.01151487,False
LHb,Hbx,1110013H19Rik,1110013H19RIK,0.0,0.0,0.0,False
LHb,Hbx,1110015O18Rik,1110015O18RIK,0.01736659,0.009581881,0.0076366216,False
LHb,Hbx,1110017D15Rik,1110017D15RIK,0.052125607,0.038327545,0.011416778,False
LHb,Hbx,1110018N20Rik,1110018N20RIK,0.0,0.0,-0.0005576379,False
LHb,Hbx,1110019D14Rik,1110019D14RIK,0.15632391,0.09146336,0.09169084,False
LHb,Hbx,1110020A21Rik,1110020A21RIK,0.007434435,0.0069686407,0.003845323,False
LHb,Hbx,1110032A03Rik,1110032A03RIK,0.16619548,0.11933783,0.08366423,False
LHb,Hbx,1110032F04Rik,1110032F04RIK,0.002218366,0.00087108015,-0.00308375,False
LHb,Hbx,1110034G24Rik,1110034G24RIK,0.075934224,0.054007,0.034061614,False
LHb,Hbx,1110035H17Rik,1110035H17RIK,0.013304834,0.011324041,0.009346397,False
LHb,Hbx,1110036E04Rik,1110036E04RIK,0.0,0.0,-0.0007049839,False
