compartment,mouse_region,human_cluster,human_marker_depth,mouse_marker_depth,n_mouse_markers,n_human_markers,n_overlap,odds_ratio,p_value,overlap_genes,p_adj_grid,p_adj_all_sensitivity_tests,neg_log10_p_adj_grid
LHb,Hbx,LHb.1,25,50,47,25,3,44.01136363636363,7.320034527010293e-05,EBF1;NDST4;SEMA3D,0.0005199343609640286,0.00020280615139768777,3.284051480346844
LHb,Hbx,LHb.2,25,50,47,25,3,44.01136363636363,7.320034527010293e-05,ERBB4;SLC8A1;THSD7B,0.0005199343609640286,0.00020280615139768777,3.284051480346844
LHb,Hbx,LHb.3,25,50,47,25,2,27.43961352657005,0.0030351765027497872,SNTG1;SORCS3,0.009734614837705732,0.006475043205866213,2.0116812272120743
LHb,Hbx,LHb.4,25,50,47,25,2,27.43961352657005,0.0030351765027497872,CDH10;SNTG1,0.009734614837705732,0.006475043205866213,2.0116812272120743
LHb,Hbx,LHb.5,25,50,47,25,1,12.861413043478262,0.07923093997414747,SEMA3D,0.15399883967322497,0.1221874736950708,0.8124825514064852
LHb,Hbx,LHb.6,25,50,47,25,2,27.43961352657005,0.0030351765027497872,NDST4;THSD7B,0.009734614837705732,0.006475043205866213,2.0116812272120743
LHb,Hbx,LHb.7,25,50,47,25,2,27.43961352657005,0.0030351765027497872,HTR2C;PRKD1,0.009734614837705732,0.006475043205866213,2.0116812272120743
LHb,Hbx,MHb.1,25,50,47,25,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Hbx,MHb.2,25,50,47,25,3,44.01136363636363,7.320034527010293e-05,KCTD8;LCORL;SYT9,0.0005199343609640286,0.00020280615139768777,3.284051480346844
LHb,Hbx,MHb.3,25,50,47,25,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Lateral,LHb.1,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Lateral,LHb.2,25,50,46,25,1,13.148148148148149,0.07760975351730927,ERBB4,0.15399883967322497,0.11997643055815926,0.8124825514064852
