compartment,mouse_region,human_cluster,n_grid_significant,median_neg_log10_fdr,min_fdr,max_overlap,significant_fraction,n_grid_best_match,best_match_fraction
LHb,Hbx,LHb.2,16,10.424822914270003,7.586569847294289e-27,45,1.0,6,0.375
LHb,Hbx,LHb.6,16,10.776262264146286,2.1516704122379106e-30,50,1.0,5,0.3125
LHb,Hbx,LHb.7,16,9.114733220291328,4.691008937891229e-29,43,1.0,4,0.25
LHb,Hbx,LHb.1,15,3.171830630394452,9.612796110617187e-15,33,0.9375,1,0.0625
LHb,Hbx,MHb.2,16,4.848863751301147,7.88377866522077e-20,39,1.0,0,0.0
LHb,Hbx,LHb.3,14,2.0778086474738915,1.4221009432319352e-09,23,0.875,0,0.0
LHb,Hbx,LHb.5,13,2.6048317170008355,1.515232271419418e-09,26,0.8125,0,0.0
LHb,Hbx,LHb.4,13,2.058211503343256,8.845285472561083e-05,18,0.8125,0,0.0
LHb,Hbx,MHb.1,8,1.2791468788479405,3.2127399457403324e-11,28,0.5,0,0.0
LHb,Hbx,MHb.3,4,0.2871732025128217,0.0029231749923422537,13,0.25,0,0.0
LHb,Lateral,LHb.7,16,21.287380637364663,5.985201317074717e-59,75,1.0,16,1.0
LHb,Lateral,LHb.2,15,8.535902244670488,1.3011380214432098e-39,59,0.9375,0,0.0
LHb,Lateral,LHb.3,13,4.136705036752318,1.839058025536626e-18,38,0.8125,0,0.0
LHb,Lateral,LHb.5,12,3.581348185244397,3.680016486638291e-20,40,0.75,0,0.0
LHb,Lateral,LHb.6,12,3.1710380737537713,2.256683513005715e-14,33,0.75,0,0.0
LHb,Lateral,MHb.2,12,2.4001466593574836,5.2754065290090815e-21,41,0.75,0,0.0
LHb,Lateral,LHb.4,10,2.0484876225742097,9.282712009728993e-17,36,0.625,0,0.0
LHb,Lateral,LHb.1,9,2.263040760361303,5.2754065290090815e-21,41,0.5625,0,0.0
LHb,Lateral,MHb.1,4,0.7584581541943529,0.006408130933972336,14,0.25,0,0.0
LHb,Lateral,MHb.3,3,-0.0,1.2768454353247998e-05,20,0.1875,0,0.0
LHb,Marginal,MHb.1,7,0.9344037150400695,1.092588458581379e-05,20,0.4375,8,0.5
LHb,Marginal,LHb.3,4,0.6874481634566727,0.0020785940130499244,12,0.25,4,0.25
LHb,Marginal,LHb.2,2,0.5050248182447492,0.0029231749923422537,10,0.125,3,0.1875
LHb,Marginal,LHb.1,0,0.08307242314448968,0.39826268045794794,5,0.0,1,0.0625
LHb,Marginal,LHb.4,3,0.21111710799812794,0.0020785940130499244,13,0.1875,0,0.0
LHb,Marginal,LHb.6,1,0.22854247085298507,0.040788021568809826,7,0.0625,0,0.0
LHb,Marginal,LHb.7,0,0.3440786044878208,0.19811213539572026,9,0.0,0,0.0
LHb,Marginal,MHb.2,0,0.09183857767592073,0.37912541155491936,7,0.0,0,0.0
LHb,Marginal,LHb.5,0,0.007556625703013097,0.05562687690455788,7,0.0,0,0.0
LHb,Marginal,MHb.3,0,-0.0,0.1661531723856104,6,0.0,0,0.0
LHb,Oval/Medial,LHb.4,16,19.144901115648512,6.598889647222473e-54,71,1.0,11,0.6875
LHb,Oval/Medial,LHb.5,15,10.89413846604765,5.985201317074717e-59,75,0.9375,4,0.25
LHb,Oval/Medial,LHb.3,16,10.668299446376574,1.1638072214968586e-40,60,1.0,1,0.0625
LHb,Oval/Medial,LHb.1,16,7.440621524783152,9.851245710653604e-42,61,1.0,0,0.0
LHb,Oval/Medial,LHb.2,14,3.538956338845664,1.4126550448443917e-18,38,0.875,0,0.0
LHb,Oval/Medial,MHb.2,13,2.0092792431596207,2.0940515239186775e-14,33,0.8125,0,0.0
LHb,Oval/Medial,LHb.7,11,3.025192435076846,2.8080873405816034e-20,40,0.6875,0,0.0
LHb,Oval/Medial,MHb.3,10,1.964747837539682,2.0940515239186775e-14,33,0.625,0,0.0
LHb,Oval/Medial,MHb.1,9,1.815991627329451,3.5276270753355965e-08,24,0.5625,0,0.0
LHb,Oval/Medial,LHb.6,4,0.0934532819746389,3.536408706679578e-06,21,0.25,0,0.0
