compartment,mouse_region,human_cluster,n_ranked_genes,spearman_r,p_value,p_adj,neg_log10_p_adj
LHb,Hbx,MHb.1,14270,0.23098139810512924,3.8745353366812267e-172,7.749070673362453e-171,170.11075037822027
LHb,Hbx,LHb.6,14270,0.17482379142618978,2.5751920676284328e-98,1.7167947117522887e-97,96.7652816331346
LHb,Hbx,LHb.2,14270,0.15120261450375788,9.740486266402716e-74,4.870243133201358e-73,72.31244935731267
LHb,Hbx,LHb.1,14270,-0.14005578807482752,1.9894263196163212e-63,7.957705278465285e-63,62.09921214942015
LHb,Hbx,MHb.2,14270,-0.09803313271063417,8.137872273203204e-32,1.914793476047813e-31,30.717878060885756
LHb,Hbx,LHb.3,14270,0.06942928436455306,1.0141654402558259e-16,2.1350851373806862e-16,15.670584802626108
LHb,Hbx,LHb.4,14270,0.05545629032060184,3.375818224864863e-11,6.137851317936114e-11,10.211983636038113
LHb,Hbx,LHb.7,14270,-0.04683799136374923,2.1719819671865138e-08,3.4751711474984223e-08,7.459023802128877
LHb,Hbx,MHb.3,14270,-0.04626195325315985,3.2243801019758625e-08,4.960584772270558e-08,7.304467124235486
LHb,Hbx,LHb.5,14270,-0.03579806706613089,1.891485314570471e-05,2.6089452614765116e-05,4.583535032777159
LHb,Lateral,LHb.7,14270,0.15603871924329377,1.8203012442129716e-78,1.0401721395502696e-77,76.98289478274886
LHb,Lateral,MHb.2,14270,-0.124882042220718,1.0633274246957173e-50,3.5444247489857244e-50,49.45045423963842
LHb,Lateral,LHb.1,14270,0.11341399364804326,4.541542657352288e-42,1.2110780419606102e-41,40.916827869985944
LHb,Lateral,LHb.2,14270,0.1106304938845268,4.213039422604902e-40,1.0532598556512254e-39,38.97746446836545
LHb,Lateral,MHb.1,14270,-0.04778056894648147,1.1265143116296856e-08,1.8775238527161428e-08,7.726414536860574
LHb,Lateral,LHb.4,14270,-0.03132997709004524,0.00018170644627262705,0.00023445993067435747,3.6299313677631035
LHb,Lateral,MHb.3,14270,-0.028582096880166597,0.0006384455346447089,0.0007738733753269199,3.1113300947377778
LHb,Lateral,LHb.3,14270,0.028322491325183472,0.0007151474938573678,0.0008173114215512775,3.0876124319731177
LHb,Lateral,LHb.5,14270,0.008234833235257134,0.3252926271447841,0.35166770502138817,0.45386751276066173
LHb,Lateral,LHb.6,14270,0.007557810315462851,0.36664906647069284,0.38594638575862406,0.41347302171787004
LHb,Marginal,LHb.1,14270,-0.20088692482429624,7.87656146478006e-130,7.87656146478006e-129,128.10366333362524
LHb,Marginal,MHb.1,14270,0.17967365455217343,7.933106318475122e-104,6.346485054780097e-103,102.19746673832384
LHb,Marginal,LHb.7,14270,-0.1249785464426435,8.921604567420767e-51,3.24421984269846e-50,49.48888972374701
LHb,Marginal,MHb.2,14270,0.12294929785059451,3.471949227172053e-49,1.0682920698990932e-48,47.97130999543071
LHb,Marginal,LHb.6,14270,0.0854206459948781,1.5821610214733273e-24,3.5159133810518384e-24,23.453961832857253
LHb,Marginal,LHb.5,14270,-0.05873953052392244,2.1824049357756848e-12,4.156961782429876e-12,11.381223968218373
LHb,Marginal,LHb.2,14270,-0.028452233620148242,0.0006758035136924692,0.0007950629572852579,3.099598480250432
LHb,Marginal,MHb.3,14270,-0.00888333519279325,0.28864196645364915,0.32071329605961013,0.4938830348154913
LHb,Marginal,LHb.3,14270,0.0007781070741228551,0.9259494083398015,0.9310175719605046,0.03104212209764168
LHb,Marginal,LHb.4,14270,-0.0007247138137941922,0.9310175719605046,0.9310175719605046,0.03104212209764168
LHb,Oval/Medial,MHb.1,14270,-0.25995349251595046,4.28889862730333e-219,1.7155594509213318e-217,216.76559422732527
LHb,Oval/Medial,LHb.1,14270,0.22427037579327744,3.8387052352982445e-162,5.118273647064326e-161,160.2908764983955
LHb,Oval/Medial,LHb.6,14270,-0.14693495005433216,1.0779953561220857e-69,4.791090471653714e-69,68.31956562814645
LHb,Oval/Medial,LHb.7,14270,0.12130460611535053,6.45436068671245e-48,1.8441030533464144e-47,46.734214813082204
LHb,Oval/Medial,LHb.5,14270,0.06830234903355405,3.134774205974538e-16,6.269548411949076e-16,15.202763739753282
LHb,Oval/Medial,LHb.2,14270,-0.05012444295230826,2.0860321446934647e-09,3.627881990771243e-09,8.440346848290666
LHb,Oval/Medial,MHb.3,14270,0.0425089264369772,3.777438885902386e-07,5.596205756892424e-07,6.252106326088675
LHb,Oval/Medial,LHb.3,14270,-0.04238934869206485,4.0723991090745327e-07,5.817713012963619e-07,6.235247706251625
LHb,Oval/Medial,LHb.4,14270,-0.03391293838521346,5.079208837152606e-05,6.772278449536808e-05,4.169265193709703
LHb,Oval/Medial,MHb.2,14270,-0.029127566587627104,0.0005015480305314855,0.0006269350381643569,3.202777457619635
