compartment,mouse_region,human_cluster,module_marker_depth,n_marker_genes_mapped,mean_module_score
MHb,Ventral,LHb.1,10,10,-0.037318915128707886
MHb,Ventral/Dorsal,LHb.1,10,10,0.013905137777328491
MHb,Lateral,LHb.1,10,10,0.03604589402675629
MHb,Dorsal,LHb.1,10,10,0.028257200494408607
MHb,Superior/Dorsal,LHb.1,10,10,0.026556380093097687
MHb,Ventral,LHb.2,10,10,-0.054110534489154816
MHb,Ventral/Dorsal,LHb.2,10,10,0.06235519051551819
MHb,Lateral,LHb.2,10,10,0.026909029111266136
MHb,Dorsal,LHb.2,10,10,0.031938813626766205
MHb,Superior/Dorsal,LHb.2,10,10,-0.00824738573282957
MHb,Ventral,LHb.3,10,10,-0.12371153384447098
MHb,Ventral/Dorsal,LHb.3,10,10,0.0328972190618515
MHb,Lateral,LHb.3,10,10,0.17799745500087738
MHb,Dorsal,LHb.3,10,10,0.1185612678527832
MHb,Superior/Dorsal,LHb.3,10,10,-0.10505092889070511
MHb,Ventral,LHb.4,10,10,-0.02211880497634411
MHb,Ventral/Dorsal,LHb.4,10,10,0.01736607402563095
MHb,Lateral,LHb.4,10,10,0.11071155965328217
MHb,Dorsal,LHb.4,10,10,0.003352717962116003
MHb,Superior/Dorsal,LHb.4,10,10,-0.07752902805805206
MHb,Ventral,LHb.5,10,10,-0.08232088387012482
MHb,Ventral/Dorsal,LHb.5,10,10,0.005625423975288868
MHb,Lateral,LHb.5,10,10,-0.014933234080672264
MHb,Dorsal,LHb.5,10,10,0.11868857592344284
MHb,Superior/Dorsal,LHb.5,10,10,-0.03678450360894203
MHb,Ventral,LHb.6,10,10,-0.034934259951114655
MHb,Ventral/Dorsal,LHb.6,10,10,0.017739495262503624
MHb,Lateral,LHb.6,10,10,0.0842476487159729
MHb,Dorsal,LHb.6,10,10,0.012122955173254013
MHb,Superior/Dorsal,LHb.6,10,10,0.012762661091983318
MHb,Ventral,LHb.7,10,10,-0.14885827898979187
MHb,Ventral/Dorsal,LHb.7,10,10,-0.026162829250097275
MHb,Lateral,LHb.7,10,10,0.2558234632015228
MHb,Dorsal,LHb.7,10,10,0.1686161905527115
MHb,Superior/Dorsal,LHb.7,10,10,-0.12581820785999298
MHb,Ventral,MHb.1,10,10,-0.06058024615049362
MHb,Ventral/Dorsal,MHb.1,10,10,0.041557107120752335
MHb,Lateral,MHb.1,10,10,0.21656306087970734
MHb,Dorsal,MHb.1,10,10,-0.015139935538172722
MHb,Superior/Dorsal,MHb.1,10,10,0.0851736068725586
MHb,Ventral,MHb.2,10,10,-0.255103200674057
MHb,Ventral/Dorsal,MHb.2,10,10,-0.042460765689611435
MHb,Lateral,MHb.2,10,10,0.15482059121131897
MHb,Dorsal,MHb.2,10,10,0.38264134526252747
MHb,Superior/Dorsal,MHb.2,10,10,-0.3196413516998291
MHb,Ventral,MHb.3,10,10,-0.017516734078526497
MHb,Ventral/Dorsal,MHb.3,10,10,0.04524053633213043
MHb,Lateral,MHb.3,10,10,-0.03171352297067642
MHb,Dorsal,MHb.3,10,10,0.012526390142738819
MHb,Superior/Dorsal,MHb.3,10,10,-0.03422984108328819
MHb,Ventral,LHb.1,15,15,-0.05509710684418678
MHb,Ventral/Dorsal,LHb.1,15,15,0.010355094447731972
MHb,Lateral,LHb.1,15,15,0.0377008430659771
MHb,Dorsal,LHb.1,15,15,0.0562584362924099
MHb,Superior/Dorsal,LHb.1,15,15,0.012891199439764023
MHb,Ventral,LHb.2,15,15,-0.08720678091049194
MHb,Ventral/Dorsal,LHb.2,15,15,0.06176452338695526
MHb,Lateral,LHb.2,15,15,0.08827324956655502
MHb,Dorsal,LHb.2,15,15,0.056420594453811646
MHb,Superior/Dorsal,LHb.2,15,15,0.014917051419615746
MHb,Ventral,LHb.3,15,15,-0.08148747682571411
MHb,Ventral/Dorsal,LHb.3,15,15,0.029207490384578705
MHb,Lateral,LHb.3,15,15,0.11939778178930283
MHb,Dorsal,LHb.3,15,15,0.0700734481215477
MHb,Superior/Dorsal,LHb.3,15,15,-0.050921086221933365
MHb,Ventral,LHb.4,15,15,-0.04421752318739891
MHb,Ventral/Dorsal,LHb.4,15,15,0.011954382061958313
MHb,Lateral,LHb.4,15,15,0.08014222234487534
MHb,Dorsal,LHb.4,15,15,0.04673828184604645
MHb,Superior/Dorsal,LHb.4,15,15,-0.08954364061355591
MHb,Ventral,LHb.5,15,15,-0.05392921343445778
MHb,Ventral/Dorsal,LHb.5,15,15,0.011236442252993584
MHb,Lateral,LHb.5,15,15,0.03130153566598892
MHb,Dorsal,LHb.5,15,15,0.06642825156450272
MHb,Superior/Dorsal,LHb.5,15,15,-0.04808520898222923
MHb,Ventral,LHb.6,15,15,-0.05102649703621864
MHb,Ventral/Dorsal,LHb.6,15,15,0.039207033812999725
MHb,Lateral,LHb.6,15,15,0.037454694509506226
MHb,Dorsal,LHb.6,15,15,0.03292328491806984
MHb,Superior/Dorsal,LHb.6,15,15,0.021517077460885048
MHb,Ventral,LHb.7,15,15,-0.08951447159051895
MHb,Ventral/Dorsal,LHb.7,15,15,-0.009366463869810104
MHb,Lateral,LHb.7,15,15,0.16362257301807404
MHb,Dorsal,LHb.7,15,15,0.09978165477514267
MHb,Superior/Dorsal,LHb.7,15,15,-0.10271880030632019
MHb,Ventral,MHb.1,15,15,-0.07100086659193039
MHb,Ventral/Dorsal,MHb.1,15,15,0.026323474943637848
MHb,Lateral,MHb.1,15,15,0.1939648538827896
MHb,Dorsal,MHb.1,15,15,0.024519748985767365
MHb,Superior/Dorsal,MHb.1,15,15,0.022859761491417885
MHb,Ventral,MHb.2,15,15,-0.2506615221500397
MHb,Ventral/Dorsal,MHb.2,15,15,-0.0010572749888524413
MHb,Lateral,MHb.2,15,15,0.07674761116504669
MHb,Dorsal,MHb.2,15,15,0.3605450391769409
MHb,Superior/Dorsal,MHb.2,15,15,-0.23979133367538452
MHb,Ventral,MHb.3,15,15,-0.017369067296385765
MHb,Ventral/Dorsal,MHb.3,15,15,0.03878174349665642
MHb,Lateral,MHb.3,15,15,-0.018770799040794373
MHb,Dorsal,MHb.3,15,15,0.011198216117918491
MHb,Superior/Dorsal,MHb.3,15,15,-0.026797030121088028
MHb,Ventral,LHb.1,25,25,-0.047843143343925476
MHb,Ventral/Dorsal,LHb.1,25,25,0.012231293134391308
MHb,Lateral,LHb.1,25,25,0.02520524151623249
MHb,Dorsal,LHb.1,25,25,0.05660635977983475
MHb,Superior/Dorsal,LHb.1,25,25,-0.03258918225765228
MHb,Ventral,LHb.2,25,25,-0.09708818793296814
MHb,Ventral/Dorsal,LHb.2,25,25,0.03771024942398071
MHb,Lateral,LHb.2,25,25,0.199416384100914
MHb,Dorsal,LHb.2,25,25,0.05172671750187874
MHb,Superior/Dorsal,LHb.2,25,25,0.023828761652112007
MHb,Ventral,LHb.3,25,25,-0.08088131248950958
