compartment,mouse_region,human_cluster,n_depth_best_module,best_module_fraction,mean_score_across_depths
MHb,Dorsal,MHb.2,5,1.0,0.29717453718185427
MHb,Dorsal,LHb.7,0,0.0,0.11851857751607894
MHb,Dorsal,LHb.3,0,0.0,0.08013451397418976
MHb,Dorsal,LHb.5,0,0.0,0.0790526181459427
MHb,Dorsal,LHb.2,0,0.0,0.07036897763609887
MHb,Dorsal,LHb.6,0,0.0,0.05684342235326767
MHb,Dorsal,LHb.1,0,0.0,0.051714077964425086
MHb,Dorsal,LHb.4,0,0.0,0.04360726876184344
MHb,Dorsal,MHb.3,0,0.0,0.02338537499308586
MHb,Dorsal,MHb.1,0,0.0,0.01540694646537304
MHb,Lateral,LHb.7,2,0.4,0.18736246824264527
MHb,Lateral,LHb.2,2,0.4,0.1286904152482748
MHb,Lateral,MHb.1,1,0.2,0.1539816826581955
MHb,Lateral,LHb.3,0,0.0,0.12070876210927964
MHb,Lateral,LHb.4,0,0.0,0.11381938010454178
MHb,Lateral,LHb.6,0,0.0,0.0770305760204792
MHb,Lateral,LHb.5,0,0.0,0.07309400327503682
MHb,Lateral,LHb.1,0,0.0,0.04510147608816624
MHb,Lateral,MHb.2,0,0.0,0.032489774748682976
MHb,Lateral,MHb.3,0,0.0,-0.01802935665473342
MHb,Superior/Dorsal,MHb.1,5,1.0,0.032784180343151094
MHb,Superior/Dorsal,LHb.6,0,0.0,0.002750980091514066
MHb,Superior/Dorsal,LHb.2,0,0.0,-0.010476402007043362
MHb,Superior/Dorsal,LHb.1,0,0.0,-0.024622493237257004
MHb,Superior/Dorsal,MHb.3,0,0.0,-0.02812348138540983
MHb,Superior/Dorsal,LHb.3,0,0.0,-0.05912469625473023
MHb,Superior/Dorsal,LHb.5,0,0.0,-0.06627551317214966
MHb,Superior/Dorsal,LHb.4,0,0.0,-0.07875489294528962
MHb,Superior/Dorsal,LHb.7,0,0.0,-0.10323936939239502
MHb,Superior/Dorsal,MHb.2,0,0.0,-0.13228991497308015
MHb,Ventral,MHb.3,5,1.0,-0.028003283590078355
MHb,Ventral,LHb.1,0,0.0,-0.0497153140604496
MHb,Ventral,LHb.4,0,0.0,-0.051222458854317664
MHb,Ventral,LHb.5,0,0.0,-0.06791676804423333
MHb,Ventral,MHb.1,0,0.0,-0.06909264251589775
MHb,Ventral,LHb.6,0,0.0,-0.07475379928946495
MHb,Ventral,LHb.3,0,0.0,-0.08938047140836716
MHb,Ventral,LHb.2,0,0.0,-0.0961143583059311
MHb,Ventral,LHb.7,0,0.0,-0.10926888138055801
MHb,Ventral,MHb.2,0,0.0,-0.22338067889213561
MHb,Ventral/Dorsal,MHb.1,2,0.4,0.05391709581017494
MHb,Ventral/Dorsal,LHb.2,2,0.4,0.04682250022888183
MHb,Ventral/Dorsal,MHb.2,1,0.2,0.03398548879195005
MHb,Ventral/Dorsal,MHb.3,0,0.0,0.04272495359182358
MHb,Ventral/Dorsal,LHb.6,0,0.0,0.04042067937552929
MHb,Ventral/Dorsal,LHb.3,0,0.0,0.032173515483736995
MHb,Ventral/Dorsal,LHb.4,0,0.0,0.01477341279387474
MHb,Ventral/Dorsal,LHb.1,0,0.0,0.013366223499178886
MHb,Ventral/Dorsal,LHb.5,0,0.0,0.007882894668728112
MHb,Ventral/Dorsal,LHb.7,0,0.0,-0.006460411217994988
