compartment,mouse_region,mouse_gene,gene_upper,mean_log_expr,pct_expr,mouse_logFC_vs_other_regions,excluded_gene
MHb,Ventral,Xkr4,XKR4,0.40946275,0.13707708405999464,-0.41420847,False
MHb,Ventral,Gm37381,GM37381,0.0,0.0,-0.00035824813,False
MHb,Ventral,Rp1,RP1,0.0062942426,0.0022671782350889426,0.0015550912,False
MHb,Ventral,Sox17,SOX17,0.0059602605,0.00209277990931287,0.0015372504,False
MHb,Ventral,Mrpl15,MRPL15,0.07818445,0.028426927101499768,-0.036721922,False
MHb,Ventral,Lypla1,LYPLA1,0.041211672,0.015172654342518294,-0.022131808,False
MHb,Ventral,Tcea1,TCEA1,0.18334758,0.06644576212068362,-0.04444477,False
MHb,Ventral,Rgs20,RGS20,0.045517143,0.016044645971398656,-0.026748735,False
MHb,Ventral,Gm16041,GM16041,0.0,0.0,-0.0002777502,False
MHb,Ventral,Atp6v1h,ATP6V1H,0.2053493,0.07429368678060717,-0.1806367,False
MHb,Ventral,Oprk1,OPRK1,0.004181077,0.0013951866062085804,0.0022264668,False
MHb,Ventral,Npbwr1,NPBWR1,0.0,0.0,-0.00026897574,False
MHb,Ventral,Rb1cc1,RB1CC1,0.26383865,0.09487268922218449,-0.23736137,False
MHb,Ventral,St18,ST18,0.10786243,0.038367631670735876,0.03401093,False
MHb,Ventral,Pcmtd1,PCMTD1,0.20567173,0.07481688175793541,-0.12860599,False
MHb,Ventral,Gm26901,GM26901,0.008095469,0.0029647715381932323,-0.009820271,False
MHb,Ventral,Sntg1,SNTG1,0.75462186,0.24346006278339433,-0.84908855,False
MHb,Ventral,Rrs1,RRS1,0.0256872,0.009417509591907918,-0.022413552,False
MHb,Ventral,Adhfe1,ADHFE1,0.01316204,0.004883153121730032,0.00010594074,False
MHb,Ventral,Mybl1,MYBL1,0.017526004,0.0066271363794907605,-0.013219008,False
MHb,Ventral,Vcpip1,VCPIP1,0.08402175,0.03034530868503656,-0.051158816,False
MHb,Ventral,Sgk3,SGK3,0.027989257,0.010115102895012206,-0.008341037,False
MHb,Ventral,Mcmdc2,MCMDC2,0.0154439965,0.005580746424834323,-0.02173147,False
MHb,Ventral,Snhg6,SNHG6,0.082154796,0.029822113707708344,-0.03537482,False
MHb,Ventral,Tcf24,TCF24,0.00048642297,0.00017439832577607255,-0.00017560035,False
MHb,Ventral,Ppp1r42,PPP1R42,0.007024528,0.0026159748866410874,-0.000774201,False
MHb,Ventral,Cops5,COPS5,0.098984085,0.036449250087199084,-0.07452565,False
MHb,Ventral,Cspp1,CSPP1,0.22504155,0.08057202650854602,-0.2803523,False
MHb,Ventral,Arfgef1,ARFGEF1,0.21909565,0.07708405999302444,-0.23629072,False
MHb,Ventral,Cpa6,CPA6,0.0043515605,0.0013951866062085804,-0.0031354185,False
MHb,Ventral,Prex2,PREX2,0.05428416,0.019707010812696168,-0.0034192875,False
