compartment,mouse_region,human_cluster,human_marker_depth,mouse_marker_depth,n_mouse_markers,n_human_markers,n_overlap,odds_ratio,p_value,overlap_genes,p_adj_grid,p_adj_all_sensitivity_tests,neg_log10_p_adj_grid
MHb,Ventral,LHb.1,25,50,46,25,1,12.476851851851851,0.08159998606403739,SPARCL1,0.3940614493368828,0.17178944434534188,0.404436049679392
MHb,Ventral,LHb.2,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,LHb.3,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,LHb.4,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,LHb.5,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,LHb.6,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,LHb.7,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,MHb.1,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,MHb.2,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,MHb.3,25,50,46,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.1,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.2,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.3,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.4,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.5,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.6,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.7,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,MHb.1,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,MHb.2,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,MHb.3,25,50,41,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Lateral,LHb.1,25,50,49,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Lateral,LHb.2,25,50,49,25,2,24.92691951896392,0.0036471679482568474,CSMD1;ERBB4,0.02605119963040605,0.011487143144116054,1.5841722730988175
MHb,Lateral,LHb.3,25,50,49,25,2,24.92691951896392,0.0036471679482568474,PTPRD;SNTG1,0.02605119963040605,0.011487143144116054,1.5841722730988175
MHb,Lateral,LHb.4,25,50,49,25,1,11.694444444444445,0.08669351885411422,SNTG1,0.3940614493368828,0.18108306810258845,0.404436049679392
MHb,Lateral,LHb.5,25,50,49,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Lateral,LHb.6,25,50,49,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Lateral,LHb.7,25,50,49,25,3,39.94268774703557,9.675615268245035e-05,COL25A1;NLGN1;SLC2A13,0.0024189038170612585,0.00039899444405134166,2.616381400158179
MHb,Lateral,MHb.1,25,50,49,25,2,24.92691951896392,0.0036471679482568474,PDE11A;RIMS1,0.02605119963040605,0.011487143144116054,1.5841722730988175
MHb,Lateral,MHb.2,25,50,49,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Lateral,MHb.3,25,50,49,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Dorsal,LHb.1,25,50,48,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Dorsal,LHb.2,25,50,48,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Dorsal,LHb.3,25,50,48,25,2,25.47069943289225,0.0035022531810905443,PTPRD;TMEFF2,0.02605119963040605,0.011207210179489741,1.5841722730988175
MHb,Dorsal,LHb.4,25,50,48,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Dorsal,LHb.5,25,50,48,25,1,11.944148936170214,0.08499869536623955,PBX1,0.3940614493368828,0.17847495090024051,0.404436049679392
MHb,Dorsal,LHb.6,25,50,48,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Dorsal,LHb.7,25,50,48,25,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Dorsal,MHb.1,25,50,48,25,0,0.0,1.0,,1.0,1.0,-0.0
