compartment,mouse_region,human_cluster,n_grid_significant,median_neg_log10_fdr,min_fdr,max_overlap,significant_fraction,n_grid_best_match,best_match_fraction
MHb,Dorsal,MHb.2,16,17.023778604792152,1.324467731722619e-44,66,1.0,16,1.0
MHb,Dorsal,LHb.3,15,3.9822877762773006,1.2961321700624595e-09,28,0.9375,0,0.0
MHb,Dorsal,LHb.7,14,6.571170998477024,6.1488529732888706e-33,55,0.875,0,0.0
MHb,Dorsal,LHb.6,13,2.829049984593401,5.452644000669133e-17,38,0.8125,0,0.0
MHb,Dorsal,LHb.2,12,2.8024995061315217,5.363708576342041e-27,49,0.75,0,0.0
MHb,Dorsal,LHb.5,11,1.7316738791806727,4.4137206139843024e-13,33,0.6875,0,0.0
MHb,Dorsal,LHb.4,10,1.8164934540945583,9.572503529232847e-10,28,0.625,0,0.0
MHb,Dorsal,MHb.1,8,1.7810896597397439,1.939909550885926e-07,24,0.5,0,0.0
MHb,Dorsal,LHb.1,8,1.4848991850838018,5.024675707746314e-14,34,0.5,0,0.0
MHb,Dorsal,MHb.3,6,0.11172989735365893,2.3425967182260967e-12,32,0.375,0,0.0
MHb,Lateral,LHb.2,16,8.939074831127257,9.18716716819907e-44,65,1.0,10,0.625
MHb,Lateral,LHb.7,16,9.40984029909139,1.3226766371220797e-41,63,1.0,5,0.3125
MHb,Lateral,LHb.6,12,5.027933218070828,4.412621601061492e-22,44,0.75,1,0.0625
MHb,Lateral,MHb.1,16,3.100451332029836,4.4165222813500636e-12,31,1.0,0,0.0
MHb,Lateral,LHb.4,15,4.077282036529068,3.898777187709941e-16,37,0.9375,0,0.0
MHb,Lateral,LHb.3,14,4.487714195653685,2.6260639992127563e-21,43,0.875,0,0.0
MHb,Lateral,LHb.5,12,4.273164943951253,9.242063119232194e-30,52,0.75,0,0.0
MHb,Lateral,MHb.2,12,2.7879290156687593,1.030629138371772e-30,53,0.75,0,0.0
MHb,Lateral,LHb.1,8,1.2444798010872011,9.830115662286967e-18,39,0.5,0,0.0
MHb,Lateral,MHb.3,4,0.11695089977131318,2.792231966890209e-08,26,0.25,0,0.0
MHb,Superior/Dorsal,MHb.2,14,3.0589252416554533,7.496998959434727e-08,23,0.875,10,0.625
MHb,Superior/Dorsal,MHb.1,8,1.333005499314372,1.12914584572033e-08,26,0.5,4,0.25
MHb,Superior/Dorsal,LHb.2,10,1.5211983928796058,5.8971608248460776e-05,18,0.625,2,0.125
MHb,Superior/Dorsal,LHb.6,7,0.9665288881567093,0.0001875467303833806,19,0.4375,0,0.0
MHb,Superior/Dorsal,LHb.7,3,0.2835305066576883,0.0156113599008128,10,0.1875,0,0.0
MHb,Superior/Dorsal,MHb.3,0,0.13632798764230902,0.25484150500518543,8,0.0,0,0.0
MHb,Superior/Dorsal,LHb.1,0,-0.0,0.3967964423514155,7,0.0,0,0.0
MHb,Superior/Dorsal,LHb.3,0,-0.0,0.06866902701948555,11,0.0,0,0.0
MHb,Superior/Dorsal,LHb.4,0,-0.0,0.24291636222157884,10,0.0,0,0.0
MHb,Superior/Dorsal,LHb.5,0,-0.0,0.4127808256391278,6,0.0,0,0.0
MHb,Ventral,LHb.1,12,3.7273758720769408,3.427669592278526e-06,9,0.75,12,0.75
MHb,Ventral,LHb.7,9,1.7274037244888176,0.005747569054360458,4,0.5625,3,0.1875
MHb,Ventral,MHb.1,6,0.9491449506286709,0.004027259232601124,6,0.375,1,0.0625
MHb,Ventral,LHb.5,6,0.9394662031684919,5.1369178553804875e-05,9,0.375,0,0.0
MHb,Ventral,LHb.4,3,0.3784953094511653,0.0002875488108072131,8,0.1875,0,0.0
MHb,Ventral,LHb.3,3,0.05551321116676838,0.007506472404966448,6,0.1875,0,0.0
MHb,Ventral,LHb.2,2,-0.0,0.031089470723985747,5,0.125,0,0.0
MHb,Ventral,LHb.6,0,-0.0,0.5687418051951114,2,0.0,0,0.0
MHb,Ventral,MHb.2,0,-0.0,1.0,0,0.0,0,0.0
MHb,Ventral,MHb.3,0,-0.0,1.0,0,0.0,0,0.0
MHb,Ventral/Dorsal,MHb.1,6,0.31641058981977854,2.33817862895744e-05,18,0.375,8,0.5
MHb,Ventral/Dorsal,MHb.2,0,0.3068152829860109,0.1915469365093873,10,0.0,4,0.25
MHb,Ventral/Dorsal,LHb.1,0,-0.0,1.0,3,0.0,4,0.25
MHb,Ventral/Dorsal,LHb.2,0,-0.0,0.8728806750135158,5,0.0,0,0.0
MHb,Ventral/Dorsal,LHb.3,0,-0.0,1.0,2,0.0,0,0.0
MHb,Ventral/Dorsal,LHb.4,0,-0.0,0.6527977588377535,4,0.0,0,0.0
MHb,Ventral/Dorsal,LHb.5,0,-0.0,1.0,1,0.0,0,0.0
MHb,Ventral/Dorsal,LHb.6,0,-0.0,0.7013914007318991,7,0.0,0,0.0
MHb,Ventral/Dorsal,LHb.7,0,-0.0,1.0,3,0.0,0,0.0
MHb,Ventral/Dorsal,MHb.3,0,-0.0,0.4764571345961929,5,0.0,0,0.0
