compartment,mouse_region,human_cluster,n_ranked_genes,spearman_r,p_value,p_adj,neg_log10_p_adj
MHb,Dorsal,LHb.1,13545,0.21803471185987164,1.8210322363599877e-145,1.8210322363599877e-144,143.73968236614942
MHb,Dorsal,MHb.1,13545,-0.21499488941855616,2.1276970216082995e-141,1.7730808513402498e-140,139.7512714604
MHb,Dorsal,LHb.7,13545,0.15860407379030483,5.140056069486647e-77,1.606267521714577e-76,75.7941821218663
MHb,Dorsal,LHb.4,13545,-0.0636522233625861,1.2174253813309876e-13,2.1739738952339063e-13,12.662745675164137
MHb,Dorsal,LHb.6,13545,-0.05766051582073396,1.872024413318615e-11,3.1200406888643584e-11,10.505839742252698
MHb,Dorsal,MHb.2,13545,-0.05290355388459609,7.23693402653969e-10,1.0965051555363166e-09,8.959989322020467
MHb,Dorsal,LHb.3,13545,-0.047896805946823585,2.446179209376525e-08,3.3974711241340626e-08,7.468844225745587
MHb,Dorsal,LHb.5,13545,0.02325925103814352,0.006787431795685915,0.007541590884095461,2.1225370308801486
MHb,Dorsal,MHb.3,13545,0.01635386326182658,0.057006224271875294,0.059381483616536765,1.2263489559749687
MHb,Dorsal,LHb.2,13545,0.01105597387979744,0.19821705771864268,0.20226230379453333,0.6940850503953192
MHb,Lateral,MHb.1,13545,-0.2219879291535519,7.528672862960674e-151,9.410841078700842e-150,149.02637156047123
MHb,Lateral,LHb.1,13545,0.18485498308567652,2.0855269309441197e-104,9.479667867927816e-104,103.02320687844812
MHb,Lateral,LHb.7,13545,0.1752663268930286,6.881452466006716e-94,2.867271860836132e-93,92.54253112740109
MHb,Lateral,LHb.4,13545,-0.07908684941868928,3.028206225091413e-20,6.583057011068289e-20,19.18157238378303
MHb,Lateral,LHb.6,13545,-0.07705370222743668,2.70114593743172e-19,5.627387369649417e-19,18.24969318850501
MHb,Lateral,LHb.3,13545,-0.07231253853956814,3.57056633810145e-17,7.1411326762029e-17,16.146232898026263
MHb,Lateral,LHb.2,13545,0.05126343424483205,2.378855009827056e-09,3.498316190922141e-09,8.456140939921156
MHb,Lateral,MHb.2,13545,-0.04879324238763273,1.3346910225206074e-08,1.906701460743725e-08,7.719717300714509
MHb,Lateral,LHb.5,13545,0.04526881905359417,1.3587768972313863e-07,1.7878643384623505e-07,6.747665438164507
MHb,Lateral,MHb.3,13545,0.036729446541236034,1.9051125769089832e-05,2.2679911629868847e-05,4.644358641963218
MHb,Superior/Dorsal,MHb.2,13545,0.1350528878347315,3.7164419427663468e-56,1.0930711596371607e-55,54.96135156427922
