compartment,pheno,n_mouse_de_genes,n_human_scz_genes,n_overlap,n_concordant_direction,n_discordant_direction,odds_ratio,p_value,overlap_genes,concordant_genes,discordant_genes,p_adj,neg_log10_p_adj
LHb overall,tst,2792,173,21,1,20,1.0146204106440768,0.5103160234368217,APEX1;ARL8A;CCAR2;COMMD9;EHMT2;EXOC3;FAM76A;FZR1;GFRA1;KXD1;LIN7B;LYRM9;PDCL3;PRKRIP1;PUF60;RNF25;SRPK1;STK19;STK25;STRIP1;UPF3B,SRPK1,APEX1;ARL8A;CCAR2;COMMD9;EHMT2;EXOC3;FAM76A;FZR1;GFRA1;KXD1;LIN7B;LYRM9;PDCL3;PRKRIP1;PUF60;RNF25;STK19;STK25;STRIP1;UPF3B,1.0,-0.0
MHb overall,tst,8661,173,63,12,51,0.9674015098648734,0.6109102942707507,ACSL5;ANKRD10;ANKRD54;APEX1;ARFGAP2;ARL8A;ATG2A;C2CD2L;CCAR2;CCDC141;CD3EAP;COMMD9;DOLK;EHMT2;EIF3B;ERI3;ERRFI1;EXOC3;FAAH;FAM53C;FAM76A;FZR1;GFRA1;GPKOW;HECTD3;IKBIP;KLHDC4;KXD1;LATS2;LIN7B;LRRC47;LYRM9;MYBBP1A;MYPOP;NAV3;NCAPH2;NLN;NOC2L;PAF1;PDCL3;PMS2;PRKRIP1;PUF60;RAB27A;RAI2;RBMS1;RNF25;SETDB1;SLC25A37;SPPL3;SRPK1;SSRP1;ST3GAL1;STK19;STK25;STRIP1;TBC1D13;TECPR1;TRMT2A;UCK1;UPF3B;YKT6;ZMYND19,ACSL5;ANKRD10;GFRA1;IKBIP;LATS2;MYPOP;RAB27A;RAI2;RBMS1;SLC25A37;SRPK1;ST3GAL1,ANKRD54;APEX1;ARFGAP2;ARL8A;ATG2A;C2CD2L;CCAR2;CCDC141;CD3EAP;COMMD9;DOLK;EHMT2;EIF3B;ERI3;ERRFI1;EXOC3;FAAH;FAM53C;FAM76A;FZR1;GPKOW;HECTD3;KLHDC4;KXD1;LIN7B;LRRC47;LYRM9;MYBBP1A;NAV3;NCAPH2;NLN;NOC2L;PAF1;PDCL3;PMS2;PRKRIP1;PUF60;RNF25;SETDB1;SPPL3;SSRP1;STK19;STK25;STRIP1;TBC1D13;TECPR1;TRMT2A;UCK1;UPF3B;YKT6;ZMYND19,1.0,-0.0
MHb overall,spt,469,173,3,1,2,0.8579272910881091,0.6798625258708024,CCDC141;GFRA1;NAV3,GFRA1,CCDC141;NAV3,1.0,-0.0
LHb overall,spt,266,173,1,0,1,0.5014480035103115,0.8638925933156417,NAV3,,NAV3,1.0,-0.0
LHb overall,susceptible,2291,173,12,8,4,0.6816327309297148,0.9272276547811109,ANKRD10;ARL8A;EHMT2;ERI3;GFRA1;NAV3;NOC2L;PUF60;SRPK1;SSRP1;STK19;STK25,ARL8A;EHMT2;ERI3;NOC2L;PUF60;SSRP1;STK19;STK25,ANKRD10;GFRA1;NAV3;SRPK1,1.0,-0.0
LHb overall,resilient,728,173,2,0,2,0.36078488231598277,0.9732978914467763,ANKRD10;GFRA1,,ANKRD10;GFRA1,1.0,-0.0
LHb overall,si,748,173,2,0,2,0.350798802188671,0.9765568663566573,GFRA1;NAV3,,GFRA1;NAV3,1.0,-0.0
MHb overall,susceptible,749,173,2,1,1,0.3503135348411189,0.9767093465671534,GFRA1;NAV3,GFRA1,NAV3,1.0,-0.0
MHb overall,si,1082,173,1,1,0,0.11853796011445045,0.999741261633375,ARL8A,ARL8A,,1.0,-0.0
MHb overall,resilient,655,173,0,0,0,0.0,1.0,,,,1.0,-0.0
